city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg
Beijing,20181211,6.583333333333333,33.208333333333336,0.5783333333333333,56.5,23.75,55.0,53.791666666666664
Changchun,20181211,28.416666666666668,59.458333333333336,1.6358333333333333,116.04166666666667,77.91666666666667,38.0,104.79166666666667
Changsha,20181211,5.958333333333333,32.75,0.7433333333333333,65.5,72.54166666666667,22.0,97.04166666666667
Chengdu,20181211,6.833333333333333,42.458333333333336,1.00375,69.125,45.0,29.0,63.291666666666664
Chongqing,20181211,9.958333333333334,38.25,0.8375,70.41666666666667,44.5,8.0,62.625
Fuzhou,20181211,4.541666666666667,21.5,0.53875,26.708333333333332,10.541666666666666,51.0,26.708333333333332
Guangzhou,20181211,7.375,26.458333333333332,0.8245833333333333,28.875,18.791666666666668,26.0,29.25
Guiyang,20181211,13.083333333333334,19.5,0.5537500000000001,44.833333333333336,30.958333333333332,39.0,45.583333333333336
Haikou,20181211,7.625,14.916666666666666,0.6725,31.416666666666668,17.791666666666668,22.0,31.416666666666668
Hangzhou,20181211,6.5,38.583333333333336,0.9179166666666667,17.75,12.833333333333334,27.0,21.5
Harbin,20181211,55.041666666666664,66.45833333333333,1.7675,135.29166666666666,119.75,22.0,157.83333333333334
Hefei,20181211,4.0,41.791666666666664,0.87875,78.07692307692308,62.625,29.0,85.0
Hohhot,20181211,19.458333333333332,27.125,1.0445833333333334,54.958333333333336,20.75,52.0,50.375
Jinan,20181211,29.416666666666668,61.458333333333336,1.0616666666666668,150.79166666666666,84.25,45.0,117.29166666666667
Kunming,20181211,17.666666666666668,38.708333333333336,0.9925,46.041666666666664,23.791666666666668,71.0,44.0
Lanzhou,20181211,21.625,57.291666666666664,1.2154166666666666,148.16666666666666,52.958333333333336,63.0,99.29166666666667
Lhasa,20181211,4.583333333333333,15.125,0.51375,27.125,8.458333333333334,82.0,30.0
Nanchang,20181211,3.5,30.541666666666668,0.9779166666666667,30.166666666666668,21.166666666666668,25.0,32.166666666666664
Nanjing,20181211,5.625,28.541666666666668,0.6483333333333333,49.583333333333336,40.625,60.0,57.125
Nanning,20181211,8.541666666666666,20.333333333333332,0.8754166666666667,16.5,10.791666666666666,19.0,17.75
Shanghai,20181211,5.208333333333333,34.416666666666664,0.5287499999999999,18.291666666666668,13.458333333333334,64.0,26.583333333333332
Shenyang,20181211,31.708333333333332,55.333333333333336,1.2058333333333333,125.29166666666667,93.75,24.0,124.66666666666667
Shijiazhuang,20181211,24.083333333333332,58.375,1.2754166666666666,150.91666666666666,88.70833333333333,39.0,125.66666666666667
Taiyuan,20181211,21.625,34.208333333333336,0.6966666666666667,95.625,32.291666666666664,49.0,73.25
Tianjin,20181211,12.291666666666666,44.458333333333336,0.7720833333333333,80.16666666666667,36.958333333333336,44.0,72.83333333333333
Urumqi,20181211,11.125,77.29166666666667,2.0216666666666665,112.16666666666667,87.0,24.0,115.08333333333333
Wuhan,20181211,6.5,38.333333333333336,0.9625,103.85714285714286,97.54166666666667,23.0,128.66666666666666
Xi'an,20181211,17.333333333333332,51.791666666666664,1.1170833333333332,120.08333333333333,67.125,54.0,103.66666666666667
Xining,20181211,17.583333333333332,61.5,2.1275,100.375,69.125,58.0,92.79166666666667
Yinchuan,20181211,24.5,33.541666666666664,0.93375,66.25,25.083333333333332,55.0,58.041666666666664
Zhengzhou,20181211,20.458333333333332,58.083333333333336,1.3550000000000002,156.20833333333334,120.75,44.0,163.125
