city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg
Beijing,20190610,2.5833333333333335,27.958333333333332,0.5391666666666667,55.5,28.083333333333332,156.0,60.375
Changchun,20190610,4.291666666666667,33.791666666666664,0.6783333333333333,30.958333333333332,15.125,113.0,36.375
Changsha,20190610,4.875,21.875,0.6716666666666667,26.333333333333332,15.0,107.0,28.916666666666668
Chengdu,20190610,5.125,27.25,0.7370833333333334,46.583333333333336,28.208333333333332,126.0,45.958333333333336
Chongqing,20190610,5.208333333333333,27.666666666666668,0.8033333333333333,37.958333333333336,23.583333333333332,78.0,38.0
Fuzhou,20190610,3.1666666666666665,16.541666666666668,0.5366666666666667,17.291666666666668,9.458333333333334,54.0,19.875
Guangzhou,20190610,5.0,26.541666666666668,0.5504166666666667,25.333333333333332,10.791666666666666,73.0,25.875
Guiyang,20190610,6.666666666666667,17.208333333333332,0.6675,34.041666666666664,20.875,79.0,34.083333333333336
Haikou,20190610,4.916666666666667,11.291666666666666,0.42,25.666666666666668,12.166666666666666,85.0,26.166666666666668
Hangzhou,20190610,4.958333333333333,33.375,0.7741666666666666,72.16666666666667,41.375,194.0,71.875
Harbin,20190610,9.458333333333334,34.25,0.5904166666666667,32.875,12.541666666666666,89.0,33.25
Hefei,20190610,3.75,24.25,0.5416666666666666,49.47826086956522,20.916666666666668,166.0,55.291666666666664
Hohhot,20190610,7.541666666666667,28.958333333333332,0.5637500000000001,24.875,9.166666666666666,138.0,37.166666666666664
Jinan,20190610,7.375,30.375,0.47,51.166666666666664,18.375,178.0,58.25
Kunming,20190610,9.25,19.958333333333332,0.3829166666666666,22.666666666666668,9.166666666666666,95.0,25.291666666666668
Lanzhou,20190610,12.083333333333334,41.916666666666664,0.6129166666666667,49.583333333333336,21.208333333333332,130.0,48.25
Lhasa,20190610,5.583333333333333,8.666666666666666,0.3675,23.5,12.125,128.0,35.166666666666664
Nanchang,20190610,6.25,23.166666666666668,0.62,51.083333333333336,24.25,117.0,48.75
Nanjing,20190610,11.583333333333334,22.5,0.6820833333333334,51.583333333333336,25.208333333333332,196.0,51.625
Nanning,20190610,6.458333333333333,26.208333333333332,0.5620833333333334,31.083333333333332,11.375,66.0,31.208333333333332
Shanghai,20190610,5.333333333333333,30.541666666666668,0.6141666666666666,46.291666666666664,40.708333333333336,110.0,56.916666666666664
Shenyang,20190610,12.791666666666666,32.541666666666664,0.7816666666666667,32.125,20.416666666666668,123.0,35.75
Shijiazhuang,20190610,14.791666666666666,36.708333333333336,0.5829166666666666,65.33333333333333,17.041666666666668,205.0,76.33333333333333
Taiyuan,20190610,14.333333333333334,43.0,0.7875,64.83333333333333,25.333333333333332,205.0,74.25
Tianjin,20190610,10.75,27.083333333333332,0.7445833333333334,58.125,31.875,202.0,67.70833333333333
Urumqi,20190610,6.5,28.25,0.5912499999999999,27.208333333333332,11.583333333333334,122.0,32.458333333333336
Wuhan,20190610,4.375,35.708333333333336,0.9437500000000001,79.54166666666667,42.083333333333336,160.0,66.95833333333333
Xi'an,20190610,6.083333333333333,46.958333333333336,0.6233333333333334,72.625,30.458333333333332,202.0,73.41666666666667
Xining,20190610,15.208333333333334,25.291666666666668,1.2025,35.541666666666664,23.333333333333332,127.0,40.5
Yinchuan,20190610,16.291666666666668,34.75,1.0129166666666667,53.75,17.875,153.0,54.291666666666664
Zhengzhou,20190610,8.125,34.125,0.49666666666666665,69.875,17.458333333333332,176.0,67.41666666666667
