city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg
Beijing,20181213,4.875,38.166666666666664,0.49333333333333335,41.166666666666664,14.25,64.0,39.291666666666664
Changchun,20181213,22.291666666666668,36.125,0.8979166666666667,77.91666666666667,51.958333333333336,38.0,71.95833333333333
Changsha,20181213,11.375,48.625,1.03875,,125.83333333333333,56.0,165.625
Chengdu,20181213,8.25,67.875,1.0979166666666667,136.83333333333334,87.0,12.0,115.16666666666667
Chongqing,20181213,10.458333333333334,49.291666666666664,0.9966666666666667,79.125,48.875,8.0,68.08333333333333
Fuzhou,20181213,4.208333333333333,22.583333333333332,0.6541666666666667,20.541666666666668,12.0,35.0,21.0
Guangzhou,20181213,6.458333333333333,30.041666666666668,0.7779166666666667,31.083333333333332,24.791666666666668,33.0,35.75
Guiyang,20181213,15.75,25.041666666666668,0.5441666666666667,72.58333333333333,46.833333333333336,70.0,65.70833333333333
Haikou,20181213,8.875,14.375,0.8045833333333334,36.833333333333336,25.291666666666668,35.0,38.041666666666664
Hangzhou,20181213,15.666666666666666,65.20833333333333,1.4574999999999998,150.625,116.54166666666667,24.0,152.83333333333334
Harbin,20181213,29.0,42.25,1.1425,232.375,203.16666666666666,41.0,238.66666666666666
Hefei,20181213,11.625,80.25,1.24125,121.55,119.58333333333333,69.0,158.375
Hohhot,20181213,39.666666666666664,66.54166666666667,2.4691666666666667,149.16666666666666,86.16666666666667,31.0,114.95833333333333
Jinan,20181213,21.75,61.041666666666664,1.0154166666666666,142.20833333333334,76.125,48.0,106.58333333333333
Kunming,20181213,15.291666666666666,33.333333333333336,0.90625,34.541666666666664,19.916666666666668,63.0,35.208333333333336
Lanzhou,20181213,48.0,82.41666666666667,2.325416666666667,174.75,93.125,27.0,123.375
Lhasa,20181213,5.75,36.291666666666664,0.7625000000000001,44.75,19.166666666666668,79.0,43.583333333333336
Nanchang,20181213,8.375,41.958333333333336,1.0270833333333333,117.08333333333333,93.33333333333333,58.0,123.0
Nanjing,20181213,15.0,67.54166666666667,1.1058333333333332,125.375,91.375,87.0,121.20833333333333
Nanning,20181213,9.125,25.625,0.9025,43.583333333333336,37.333333333333336,36.0,52.916666666666664
Shanghai,20181213,14.041666666666666,70.58333333333333,0.9970833333333333,81.0,69.625,52.0,93.33333333333333
Shenyang,20181213,18.916666666666668,32.166666666666664,0.6629166666666667,56.166666666666664,32.875,52.0,55.458333333333336
Shijiazhuang,20181213,39.083333333333336,69.79166666666667,1.6841666666666668,151.58333333333334,86.58333333333333,35.0,115.70833333333333
Taiyuan,20181213,64.20833333333333,81.25,2.0058333333333334,192.75,90.79166666666667,20.0,126.625
Tianjin,20181213,13.041666666666666,51.791666666666664,0.8145833333333333,74.33333333333333,46.833333333333336,58.0,75.95833333333333
Urumqi,20181213,15.625,86.125,2.495833333333333,206.33333333333334,168.20833333333334,23.0,214.375
Wuhan,20181213,14.333333333333334,82.70833333333333,1.3741666666666665,139.83333333333334,106.25,45.0,139.75
Xi'an,20181213,24.083333333333332,84.125,1.5695833333333333,151.66666666666666,97.08333333333333,20.0,127.79166666666667
Xining,20181213,23.166666666666668,76.45833333333333,2.410416666666667,99.54166666666667,70.29166666666667,50.0,94.29166666666667
Yinchuan,20181213,48.458333333333336,63.583333333333336,2.64,141.54166666666666,71.41666666666667,30.0,100.29166666666667
Zhengzhou,20181213,26.625,66.45833333333333,1.3625,130.45833333333334,93.33333333333333,33.0,125.95833333333333
