city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg
Beijing,20190411,2.4347826086956523,37.869565217391305,0.44173913043478263,64.56521739130434,47.869565217391305,103.0,66.43478260869566
Changchun,20190411,6.130434782608695,49.21739130434783,0.6313043478260869,65.91304347826087,35.08695652173913,107.0,57.52173913043478
Changsha,20190411,4.478260869565218,24.26086956521739,0.6926086956521739,26.65,22.652173913043477,79.0,34.47826086956522
Chengdu,20190411,5.166666666666667,27.375,0.6633333333333333,39.416666666666664,21.333333333333332,76.0,38.0
Chongqing,20190411,5.695652173913044,34.391304347826086,0.7978260869565218,36.82608695652174,21.652173913043477,106.0,36.73913043478261
Fuzhou,20190411,3.9166666666666665,22.833333333333332,0.6304166666666667,16.708333333333332,7.625,76.0,21.583333333333332
Guangzhou,20190411,6.086956521739131,35.78260869565217,0.6826086956521739,41.17391304347826,22.26086956521739,51.0,40.73913043478261
Guiyang,20190411,6.608695652173913,13.826086956521738,0.6752173913043478,30.782608695652176,14.956521739130435,111.0,32.65217391304348
Haikou,20190411,4.782608695652174,15.304347826086957,0.44782608695652176,31.47826086956522,15.130434782608695,75.0,31.391304347826086
Hangzhou,20190411,5.304347826086956,45.0,0.5891304347826087,55.391304347826086,32.04347826086956,49.0,50.78260869565217
Harbin,20190411,18.608695652173914,47.65217391304348,0.8082608695652174,78.3913043478261,44.608695652173914,95.0,67.56521739130434
Hefei,20190411,2.869565217391304,38.34782608695652,0.7830434782608696,52.833333333333336,46.73913043478261,74.0,64.78260869565217
Hohhot,20190411,11.173913043478262,36.95652173913044,0.918695652173913,43.43478260869565,28.91304347826087,85.0,44.78260869565217
Jinan,20190411,11.956521739130435,62.26086956521739,0.8782608695652173,117.26086956521739,76.52173913043478,100.0,101.95652173913044
Kunming,20190411,10.91304347826087,30.652173913043477,0.5217391304347826,40.34782608695652,21.956521739130434,115.0,41.30434782608695
Lanzhou,20190411,20.956521739130434,44.04347826086956,0.4739130434782609,65.69565217391305,22.652173913043477,128.0,57.608695652173914
Lhasa,20190411,4.739130434782608,19.91304347826087,0.40956521739130436,34.26086956521739,9.826086956521738,95.0,34.391304347826086
Nanchang,20190411,4.0,18.652173913043477,0.6765217391304347,38.78260869565217,22.391304347826086,68.0,39.17391304347826
Nanjing,20190411,10.304347826086957,31.695652173913043,0.6073913043478261,45.69565217391305,26.695652173913043,125.0,46.08695652173913
Nanning,20190411,7.391304347826087,28.82608695652174,0.7639130434782608,54.73913043478261,33.130434782608695,57.0,52.608695652173914
Shanghai,20190411,6.086956521739131,42.04347826086956,0.6326086956521739,37.391304347826086,24.17391304347826,108.0,38.43478260869565
Shenyang,20190411,29.52173913043478,48.56521739130435,0.9321739130434783,91.78260869565217,45.73913043478261,102.0,71.1304347826087
Shijiazhuang,20190411,10.08695652173913,33.26086956521739,0.6747826086956522,84.91304347826087,55.43478260869565,121.0,78.0
Taiyuan,20190411,6.956521739130435,32.17391304347826,0.5269565217391304,39.08695652173913,17.130434782608695,97.0,38.82608695652174
Tianjin,20190411,10.91304347826087,33.91304347826087,0.7143478260869565,66.77272727272727,58.47826086956522,125.0,79.47826086956522
Urumqi,20190411,7.217391304347826,33.26086956521739,0.6617391304347826,77.0,23.52173913043478,93.0,62.82608695652174
Wuhan,20190411,5.695652173913044,32.04347826086956,0.7965217391304348,46.95652173913044,35.73913043478261,97.0,52.608695652173914
Xi'an,20190411,5.3478260869565215,42.130434782608695,0.9834782608695652,88.78260869565217,49.21739130434783,112.0,73.08695652173913
Xining,20190411,22.625,31.125,1.1566666666666665,66.45833333333333,25.166666666666668,106.0,57.666666666666664
Yinchuan,20190411,8.08695652173913,24.869565217391305,0.6,34.17391304347826,17.47826086956522,101.0,34.73913043478261
Zhengzhou,20190411,13.0,47.291666666666664,0.8404166666666667,117.25,100.25,115.0,131.70833333333334
