city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg
Beijing,20190601,4.761904761904762,39.714285714285715,0.47714285714285715,76.42857142857143,29.428571428571427,164.0,64.80952380952381
Changchun,20190601,4.190476190476191,20.19047619047619,0.3823809523809524,22.523809523809526,9.333333333333334,106.0,28.428571428571427
Changsha,20190601,5.0476190476190474,29.714285714285715,0.7733333333333332,31.80952380952381,23.761904761904763,73.0,35.904761904761905
Chengdu,20190601,6.380952380952381,33.95238095238095,0.7780952380952381,51.142857142857146,32.666666666666664,158.0,57.23809523809524
Chongqing,20190601,7.380952380952381,42.19047619047619,0.8690476190476191,59.42857142857143,35.42857142857143,153.0,56.76190476190476
Fuzhou,20190601,3.238095238095238,18.476190476190474,0.7633333333333334,18.68421052631579,18.285714285714285,88.0,27.238095238095237
Guangzhou,20190601,5.428571428571429,43.0,0.7842857142857143,31.714285714285715,20.476190476190474,91.0,34.095238095238095
Guiyang,20190601,7.476190476190476,24.428571428571427,0.6614285714285715,47.0,29.095238095238095,103.0,45.904761904761905
Haikou,20190601,4.473684210526316,20.57894736842105,0.4473684210526316,19.94736842105263,7.473684210526316,62.0,20.526315789473685
Hangzhou,20190601,6.809523809523809,42.38095238095238,0.8723809523809524,81.14285714285714,50.857142857142854,147.0,71.42857142857143
Harbin,20190601,7.666666666666667,22.095238095238095,0.49142857142857144,26.0,9.523809523809524,96.0,27.38095238095238
Hefei,20190601,8.142857142857142,42.904761904761905,0.7628571428571428,74.19047619047619,45.57142857142857,225.0,87.04761904761905
Hohhot,20190601,11.952380952380953,23.38095238095238,0.5976190476190476,67.66666666666667,26.80952380952381,145.0,58.857142857142854
Jinan,20190601,12.0,35.333333333333336,0.5523809523809524,89.9047619047619,33.95238095238095,199.0,81.33333333333333
Kunming,20190601,8.857142857142858,23.904761904761905,0.5995238095238096,27.19047619047619,18.952380952380953,83.0,29.333333333333332
Lanzhou,20190601,11.904761904761905,49.19047619047619,0.7933333333333333,79.57142857142857,29.714285714285715,129.0,65.0
Lhasa,20190601,6.476190476190476,25.142857142857142,0.42714285714285716,33.19047619047619,15.904761904761905,146.0,41.23809523809524
Nanchang,20190601,10.142857142857142,33.714285714285715,0.8204761904761905,43.95238095238095,21.333333333333332,81.0,42.95238095238095
Nanjing,20190601,11.857142857142858,44.23809523809524,0.751904761904762,69.0952380952381,36.95238095238095,180.0,68.47619047619048
Nanning,20190601,8.0,24.857142857142858,0.8280952380952381,32.19047619047619,20.857142857142858,40.0,33.714285714285715
Shanghai,20190601,5.095238095238095,31.571428571428573,0.5976190476190476,36.76923076923077,33.95238095238095,119.0,48.142857142857146
Shenyang,20190601,19.142857142857142,28.952380952380953,0.7138095238095238,60.19047619047619,25.142857142857142,152.0,56.04761904761905
Shijiazhuang,20190601,22.238095238095237,41.666666666666664,0.810952380952381,94.38095238095238,35.04761904761905,218.0,86.42857142857143
Taiyuan,20190601,12.095238095238095,41.23809523809524,0.5342857142857144,79.57142857142857,30.80952380952381,155.0,65.42857142857143
Tianjin,20190601,11.523809523809524,38.095238095238095,0.7114285714285714,75.33333333333333,26.952380952380953,142.0,63.142857142857146
Urumqi,20190601,6.904761904761905,30.714285714285715,0.6004761904761905,55.61904761904762,16.571428571428573,124.0,51.666666666666664
Wuhan,20190601,6.142857142857143,51.666666666666664,0.92,74.80952380952381,42.095238095238095,166.0,65.95238095238095
Xi'an,20190601,5.095238095238095,30.238095238095237,0.4442857142857143,59.523809523809526,23.238095238095237,139.0,52.57142857142857
Xining,20190601,15.0,24.476190476190474,0.8295238095238094,70.61904761904762,34.0,120.0,60.523809523809526
Yinchuan,20190601,6.238095238095238,26.952380952380953,0.4766666666666667,59.76190476190476,19.476190476190474,121.0,53.476190476190474
Zhengzhou,20190601,10.428571428571429,36.57142857142857,0.6409523809523809,89.47619047619048,29.571428571428573,187.0,76.33333333333333
