date,hour,城市,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20200126,0,七台河,145.0,111.0,67.0,171.0,105.0,18.0,27.0,47.0,45.0,34.0,66.0,35.0,56.0,1.6,1.1
20200126,0,三亚,20.0,12.0,11.0,20.0,17.0,4.0,4.0,5.0,4.0,57.0,72.0,61.0,69.0,0.4,0.35
20200126,0,三明,11.0,4.0,24.0,11.0,32.0,5.0,13.0,4.0,6.0,22.0,33.0,22.0,30.0,0.6,0.73
20200126,0,三门峡,247.0,197.0,195.0,180.0,181.0,13.0,14.0,14.0,21.0,74.0,94.0,79.0,86.0,1.83,1.8
20200126,0,上海,21.0,9.0,14.0,17.0,14.0,4.0,4.0,17.0,21.0,67.0,75.0,67.0,69.0,0.48,0.51
20200126,0,上饶,20.0,7.0,22.0,20.0,28.0,3.0,3.0,5.0,7.0,57.0,82.0,63.0,76.0,0.5,0.7
20200126,0,东莞,20.0,14.0,39.0,17.0,41.0,6.0,9.0,8.0,11.0,16.0,76.0,16.0,61.0,0.86,0.74
20200126,0,东营,39.0,27.0,35.0,31.0,49.0,5.0,12.0,9.0,7.0,52.0,105.0,67.0,92.0,0.35,0.38
20200126,0,中卫,64.0,46.0,67.0,50.0,77.0,8.0,12.0,14.0,22.0,82.0,95.0,84.0,89.0,0.65,1.0
20200126,0,中山,19.0,13.0,18.0,19.0,29.0,3.0,5.0,15.0,13.0,11.0,72.0,14.0,62.0,1.13,0.93
20200126,0,临夏州,173.0,131.0,87.0,154.0,119.0,23.0,18.0,30.0,21.0,30.0,89.0,68.0,84.0,2.55,1.45
20200126,0,临安,21.0,15.0,26.0,17.0,26.0,1.0,2.0,10.0,13.0,37.0,52.0,36.0,48.0,1.0,1.1
20200126,0,临汾,375.0,325.0,317.0,383.0,373.0,54.0,57.0,43.0,42.0,29.0,85.0,51.0,69.0,3.92,3.32
20200126,0,临沂,88.0,65.0,42.0,71.0,66.0,15.0,16.0,14.0,16.0,83.0,89.0,82.0,83.0,0.88,0.78
20200126,0,临沧,63.0,45.0,44.0,34.0,46.0,7.0,11.0,9.0,10.0,52.0,91.0,69.0,84.0,0.85,0.85
20200126,0,丹东,90.0,67.0,84.0,76.0,92.0,29.0,30.0,28.0,21.0,34.0,74.0,34.0,66.0,1.77,0.95
20200126,0,丽水,15.0,3.0,4.0,6.0,10.0,4.0,4.0,6.0,6.0,47.0,77.0,55.0,71.0,0.57,0.77
20200126,0,丽江,37.0,26.0,15.0,27.0,27.0,3.0,4.0,9.0,4.0,56.0,88.0,74.0,85.0,0.7,0.5
