date,hour,城市,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20200215,0,七台河,56.0,40.0,24.0,60.0,29.0,12.0,9.0,29.0,22.0,53.0,71.0,58.0,67.0,0.9,0.8
20200215,0,三亚,21.0,10.0,10.0,21.0,21.0,4.0,4.0,3.0,3.0,54.0,58.0,53.0,56.0,0.4,0.4
20200215,0,三明,16.0,11.0,12.0,12.0,16.0,5.0,5.0,23.0,20.0,2.0,33.0,2.0,25.0,1.57,1.23
20200215,0,三门峡,51.0,9.0,30.0,52.0,144.0,5.0,7.0,8.0,10.0,74.0,86.0,77.0,81.0,0.33,0.53
20200215,0,上海,15.0,10.0,18.0,3.0,10.0,4.0,4.0,26.0,31.0,47.0,74.0,55.0,66.0,0.49,0.56
20200215,0,上饶,34.0,22.0,18.0,34.0,28.0,4.0,5.0,13.0,8.0,14.0,36.0,19.0,33.0,0.75,0.85
20200215,0,东莞,26.0,18.0,20.0,16.0,18.0,7.0,7.0,15.0,20.0,36.0,47.0,33.0,37.0,0.5,0.54
20200215,0,东营,19.0,13.0,26.0,15.0,32.0,4.0,6.0,3.0,6.0,53.0,71.0,53.0,64.0,0.42,0.63
20200215,0,中卫,41.0,9.0,35.0,41.0,178.0,5.0,6.0,16.0,6.0,64.0,89.0,73.0,79.0,0.35,0.3
20200215,0,中山,19.0,13.0,11.0,17.0,17.0,3.0,3.0,6.0,16.0,52.0,59.0,50.0,51.0,0.53,0.57
20200215,0,临夏州,68.0,28.0,33.0,85.0,153.0,9.0,11.0,6.0,7.0,68.0,89.0,75.0,85.0,0.2,0.3
20200215,0,临安,30.0,16.0,10.0,30.0,20.0,1.0,2.0,15.0,10.0,20.0,29.0,21.0,24.0,1.3,1.3
20200215,0,临汾,24.0,7.0,16.0,24.0,86.0,5.0,4.0,8.0,9.0,68.0,87.0,74.0,83.0,0.45,0.36
20200215,0,临沂,16.0,8.0,36.0,16.0,54.0,3.0,4.0,14.0,18.0,34.0,45.0,28.0,41.0,0.58,0.98
20200215,0,临沧,64.0,46.0,30.0,47.0,36.0,7.0,7.0,13.0,10.0,61.0,100.0,85.0,97.0,0.85,0.65
20200215,0,丹东,53.0,37.0,35.0,38.0,39.0,12.0,14.0,17.0,19.0,32.0,64.0,29.0,52.0,0.97,1.15
20200215,0,丽水,19.0,13.0,8.0,19.0,13.0,4.0,4.0,12.0,8.0,11.0,47.0,22.0,40.0,0.77,0.73
20200215,0,丽江,29.0,20.0,18.0,29.0,22.0,7.0,7.0,4.0,5.0,85.0,101.0,93.0,97.0,0.65,0.65
20200215,0,义乌,26.0,18.0,12.0,26.0,15.0,3.0,2.0,17.0,14.0,14.0,56.0,23.0,45.0,0.45,0.45
20200215,0,乌兰察布,22.0,11.0,11.0,22.0,38.0,15.0,16.0,6.0,6.0,64.0,69.0,66.0,67.0,0.2,0.2
20200215,0,乌海,42.0,17.0,14.0,42.0,39.0,5.0,9.0,5.0,7.0,73.0,75.0,73.0,73.0,0.33,0.5
20200215,0,乌鲁木齐,89.0,66.0,42.0,59.0,42.0,7.0,8.0,50.0,29.0,44.0,93.0,68.0,81.0,1.32,1.07
20200215,0,乐山,79.0,58.0,65.0,67.0,81.0,8.0,7.0,13.0,19.0,57.0,65.0,55.0,55.0,0.57,0.73
20200215,0,九江,34.0,24.0,19.0,18.0,20.0,7.0,8.0,16.0,15.0,24.0,40.0,25.0,32.0,0.66,0.54
20200215,0,乳山,60.0,43.0,23.0,58.0,34.0,7.0,8.0,11.0,9.0,85.0,112.0,101.0,108.0,1.7,1.6
20200215,0,云浮,24.0,17.0,16.0,22.0,23.0,11.0,9.0,11.0,11.0,17.0,40.0,17.0,34.0,0.6,0.65
20200215,0,五家渠,65.0,47.0,48.0,53.0,60.0,10.0,13.0,12.0,19.0,78.0,106.0,93.0,94.0,1.0,1.3
