date,hour,城市,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20200415,0,七台河,37.0,26.0,34.0,36.0,71.0,9.0,13.0,22.0,28.0,57.0,97.0,71.0,90.0,0.8,0.75
20200415,0,三亚,43.0,20.0,17.0,43.0,35.0,3.0,3.0,14.0,10.0,87.0,128.0,101.0,114.0,0.4,0.4
20200415,0,三明,58.0,41.0,37.0,51.0,59.0,4.0,10.0,33.0,39.0,17.0,118.0,27.0,85.0,0.77,1.0
20200415,0,三门峡,64.0,27.0,24.0,78.0,76.0,4.0,7.0,61.0,39.0,32.0,129.0,57.0,123.0,0.53,0.6
20200415,0,上海,98.0,73.0,61.0,90.0,76.0,10.0,9.0,50.0,54.0,120.0,187.0,140.0,173.0,0.76,0.72
20200415,0,上饶,70.0,49.0,43.0,90.0,82.0,23.0,23.0,59.0,48.0,18.0,82.0,41.0,72.0,0.63,0.67
20200415,0,东莞,96.0,72.0,53.0,106.0,79.0,12.0,13.0,76.0,63.0,55.0,186.0,90.0,141.0,0.88,0.7
20200415,0,东营,87.0,57.0,65.0,124.0,141.0,21.0,27.0,81.0,70.0,32.0,180.0,113.0,165.0,0.63,0.92
20200415,0,中卫,131.0,73.0,60.0,212.0,177.0,11.0,12.0,46.0,35.0,33.0,117.0,74.0,109.0,0.75,0.55
20200415,0,中山,78.0,57.0,41.0,62.0,58.0,8.0,7.0,40.0,31.0,63.0,215.0,112.0,166.0,0.63,0.5
20200415,0,临夏州,152.0,84.0,43.0,253.0,136.0,15.0,11.0,44.0,31.0,32.0,133.0,74.0,123.0,0.65,0.7
20200415,0,临汾,81.0,49.0,35.0,111.0,75.0,15.0,16.0,84.0,53.0,14.0,137.0,79.0,121.0,1.28,1.15
20200415,0,临沂,115.0,87.0,69.0,132.0,142.0,17.0,18.0,46.0,54.0,117.0,174.0,140.0,162.0,1.35,0.93
20200415,0,临沧,64.0,46.0,41.0,58.0,54.0,7.0,9.0,22.0,16.0,64.0,131.0,99.0,123.0,0.9,0.8
20200415,0,丹东,100.0,75.0,60.0,110.0,90.0,16.0,17.0,22.0,23.0,98.0,180.0,137.0,166.0,0.88,0.97
20200415,0,丽水,47.0,33.0,31.0,36.0,56.0,5.0,6.0,21.0,25.0,70.0,133.0,81.0,114.0,0.43,0.43
20200415,0,丽江,34.0,12.0,15.0,34.0,37.0,8.0,8.0,8.0,10.0,85.0,113.0,96.0,106.0,0.55,0.6
20200415,0,义乌,70.0,51.0,57.0,75.0,83.0,10.0,13.0,81.0,71.0,20.0,157.0,60.0,110.0,0.75,0.65
20200415,0,乌兰察布,37.0,22.0,21.0,37.0,42.0,22.0,30.0,16.0,33.0,112.0,147.0,125.0,141.0,0.2,0.45
20200415,0,乌海,127.0,55.0,34.0,204.0,126.0,31.0,25.0,92.0,51.0,5.0,154.0,67.0,136.0,0.77,0.87
20200415,0,乌鲁木齐,78.0,23.0,36.0,105.0,197.0,9.0,9.0,24.0,32.0,56.0,94.0,77.0,86.0,0.58,0.7
20200415,0,乐山,56.0,35.0,32.0,62.0,54.0,3.0,3.0,70.0,31.0,14.0,137.0,75.0,116.0,0.87,0.63
20200415,0,九江,62.0,42.0,29.0,74.0,59.0,30.0,19.0,52.0,48.0,51.0,109.0,66.0,94.0,0.46,0.59
20200415,0,乳山,90.0,67.0,67.0,69.0,92.0,8.0,11.0,20.0,32.0,145.0,190.0,146.0,171.0,0.95,1.05
20200415,0,云浮,55.0,38.0,31.0,60.0,63.0,21.0,37.0,66.0,66.0,4.0,61.0,21.0,36.0,0.6,0.65
20200415,0,五家渠,23.0,16.0,27.0,21.0,132.0,12.0,10.0,5.0,15.0,65.0,91.0,82.0,85.0,0.4,0.5
20200415,0,亳州,74.0,52.0,35.0,97.0,77.0,11.0,11.0,25.0,22.0,115.0,181.0,143.0,166.0,0.4,0.45
20200415,0,伊春,40.0,28.0,17.0,33.0,23.0,4.0,5.0,14.0,11.0,57.0,96.0,79.0,87.0,0.25,0.45
20200415,0,伊犁哈萨克州,28.0,15.0,11.0,28.0,20.0,7.0,7.0,24.0,11.0,49.0,98.0,77.0,91.0,0.8,0.63
20200415,0,佛山,85.0,63.0,47.0,107.0,80.0,15.0,18.0,96.0,74.0,16.0,130.0,51.0,96.0,0.92,0.69
20200415,0,佳木斯,53.0,33.0,29.0,56.0,61.0,9.0,7.0,37.0,20.0,16.0,94.0,56.0,89.0,0.6,0.5
20200415,0,保定,67.0,35.0,61.0,83.0,108.0,13.0,20.0,37.0,39.0,82.0,172.0,120.0,146.0,0.5,0.68
20200415,0,保山,45.0,31.0,31.0,45.0,42.0,5.0,6.0,10.0,14.0,119.0,140.0,127.0,129.0,0.5,0.5
20200415,0,信阳,37.0,23.0,24.0,37.0,49.0,6.0,8.0,12.0,18.0,109.0,160.0,120.0,154.0,0.45,0.5
20200415,0,克州,395.0,143.0,143.0,496.0,463.0,4.0,4.0,29.0,21.0,52.0,93.0,69.0,88.0,0.3,0.3
20200415,0,克拉玛依,22.0,11.0,11.0,18.0,44.0,6.0,7.0,8.0,14.0,70.0,81.0,69.0,71.0,0.6,0.62
20200415,0,六安,70.0,37.0,31.0,89.0,69.0,6.0,8.0,46.0,33.0,89.0,155.0,105.0,143.0,0.65,0.6
20200415,0,六盘水,69.0,50.0,35.0,74.0,58.0,9.0,12.0,28.0,16.0,77.0,109.0,96.0,102.0,0.65,0.57
20200415,0,兰州,158.0,73.0,50.0,266.0,165.0,18.0,18.0,91.0,61.0,8.0,156.0,53.0,121.0,1.15,1.02
20200415,0,兴安盟,94.0,70.0,75.0,82.0,143.0,4.0,5.0,16.0,17.0,67.0,122.0,98.0,108.0,0.5,0.5
20200415,0,内江,65.0,47.0,40.0,77.0,63.0,9.0,8.0,69.0,30.0,30.0,147.0,89.0,129.0,0.9,0.7
20200415,0,凉山州,40.0,22.0,24.0,40.0,37.0,10.0,11.0,20.0,18.0,65.0,145.0,104.0,124.0,0.6,0.58
20200415,0,包头,88.0,44.0,45.0,126.0,97.0,12.0,29.0,79.0,58.0,30.0,147.0,72.0,128.0,0.85,1.08
20200415,0,北京,78.0,57.0,66.0,100.0,102.0,6.0,8.0,35.0,46.0,79.0,191.0,134.0,164.0,0.49,0.64
20200415,0,北海,100.0,75.0,51.0,80.0,61.0,43.0,16.0,41.0,32.0,58.0,126.0,89.0,102.0,0.8,0.65
20200415,0,十堰,55.0,37.0,32.0,60.0,54.0,7.0,6.0,31.0,26.0,30.0,104.0,59.0,94.0,0.93,0.73
20200415,0,南京,100.0,75.0,45.0,136.0,88.0,10.0,10.0,81.0,60.0,64.0,183.0,116.0,160.0,0.96,0.87
20200415,0,南充,73.0,53.0,44.0,88.0,68.0,6.0,4.0,84.0,36.0,34.0,140.0,85.0,126.0,0.78,0.58
20200415,0,南宁,55.0,36.0,42.0,60.0,73.0,12.0,14.0,33.0,40.0,89.0,145.0,113.0,124.0,0.7,0.66
20200415,0,南平,58.0,41.0,36.0,51.0,49.0,6.0,9.0,19.0,19.0,45.0,139.0,67.0,130.0,0.5,0.47
20200415,0,南昌,91.0,55.0,49.0,131.0,115.0,18.0,24.0,91.0,78.0,9.0,102.0,53.0,82.0,0.6,0.45
