date,hour,城市,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20191218,0,七台河,36.0,25.0,57.0,27.0,70.0,11.0,15.0,38.0,35.0,29.0,42.0,27.0,31.0,0.5,0.9
20191218,0,三亚,24.0,9.0,8.0,24.0,24.0,4.0,4.0,7.0,7.0,34.0,54.0,38.0,46.0,0.4,0.35
20191218,0,三明,57.0,32.0,37.0,64.0,69.0,7.0,12.0,47.0,40.0,3.0,75.0,13.0,52.0,0.97,0.93
20191218,0,三门峡,72.0,46.0,57.0,93.0,88.0,22.0,13.0,52.0,49.0,11.0,61.0,17.0,42.0,1.0,0.97
20191218,0,上海,95.0,71.0,77.0,51.0,62.0,6.0,8.0,46.0,60.0,24.0,27.0,15.0,16.0,1.3,1.22
20191218,0,上饶,86.0,64.0,61.0,107.0,112.0,124.0,86.0,40.0,51.0,8.0,78.0,31.0,63.0,1.3,1.1
20191218,0,东莞,83.0,61.0,55.0,98.0,86.0,10.0,11.0,109.0,72.0,4.0,152.0,74.0,129.0,0.88,0.7
20191218,0,东营,51.0,29.0,41.0,52.0,57.0,20.0,8.0,68.0,40.0,8.0,69.0,33.0,60.0,0.7,0.75
20191218,0,中卫,30.0,20.0,20.0,30.0,34.0,10.0,15.0,47.0,23.0,39.0,83.0,60.0,75.0,0.5,0.45
20191218,0,中山,51.0,28.0,31.0,51.0,58.0,5.0,6.0,64.0,65.0,4.0,78.0,16.0,52.0,0.73,0.9
20191218,0,临夏州,66.0,44.0,37.0,81.0,59.0,11.0,16.0,24.0,24.0,45.0,72.0,59.0,69.0,0.75,0.55
20191218,0,临安,21.0,6.0,65.0,9.0,93.0,2.0,2.0,42.0,43.0,16.0,31.0,19.0,24.0,1.4,1.1
20191218,0,临汾,53.0,37.0,47.0,49.0,62.0,26.0,19.0,49.0,42.0,11.0,55.0,24.0,43.0,1.16,1.2
20191218,0,临沂,32.0,7.0,64.0,32.0,81.0,5.0,7.0,15.0,34.0,55.0,56.0,43.0,43.0,0.35,1.07
20191218,0,临沧,58.0,41.0,29.0,50.0,41.0,10.0,10.0,26.0,19.0,35.0,94.0,59.0,82.0,0.85,0.7
20191218,0,丹东,25.0,12.0,21.0,25.0,32.0,9.0,12.0,7.0,13.0,55.0,62.0,54.0,58.0,0.45,0.73
20191218,0,丽水,189.0,142.0,50.0,168.0,82.0,5.0,6.0,53.0,38.0,18.0,100.0,41.0,69.0,1.37,1.07
20191218,0,丽江,33.0,23.0,13.0,33.0,23.0,8.0,9.0,15.0,12.0,70.0,99.0,80.0,92.0,0.75,0.7
20191218,0,义乌,21.0,13.0,96.0,20.0,174.0,7.0,13.0,42.0,69.0,4.0,74.0,8.0,44.0,1.25,1.3
20191218,0,乌兰察布,37.0,26.0,12.0,32.0,19.0,34.0,21.0,51.0,17.0,13.0,73.0,39.0,68.0,0.9,0.4
20191218,0,乌海,41.0,29.0,22.0,40.0,35.0,8.0,7.0,30.0,25.0,38.0,79.0,43.0,70.0,0.8,0.73
20191218,0,乌鲁木齐,44.0,31.0,32.0,21.0,27.0,5.0,6.0,42.0,39.0,22.0,38.0,20.0,27.0,1.12,1.23
20191218,0,乐山,45.0,31.0,36.0,45.0,59.0,6.0,8.0,19.0,34.0,46.0,55.0,38.0,38.0,0.57,0.8
20191218,0,九江,84.0,62.0,67.0,29.0,68.0,7.0,15.0,28.0,42.0,17.0,17.0,9.0,9.0,0.43,0.73
20191218,0,乳山,21.0,2.0,16.0,20.0,17.0,5.0,6.0,11.0,16.0,67.0,69.0,64.0,64.0,0.35,0.75
20191218,0,云浮,86.0,41.0,32.0,121.0,69.0,14.0,15.0,37.0,29.0,3.0,54.0,19.0,41.0,1.5,1.15
20191218,0,五家渠,53.0,37.0,42.0,51.0,51.0,10.0,10.0,39.0,20.0,13.0,27.0,19.0,26.0,1.0,1.2
20191218,0,亳州,86.0,64.0,81.0,90.0,109.0,8.0,4.0,30.0,30.0,18.0,42.0,28.0,33.0,0.8,1.2
20191218,0,伊春,26.0,18.0,26.0,23.0,31.0,7.0,8.0,19.0,17.0,26.0,56.0,26.0,47.0,0.65,0.7
20191218,0,伊犁哈萨克州,174.0,132.0,96.0,168.0,117.0,24.0,22.0,70.0,56.0,5.0,57.0,18.0,36.0,2.8,2.57
20191218,0,佛山,91.0,68.0,40.0,129.0,82.0,10.0,11.0,115.0,74.0,14.0,102.0,36.0,76.0,1.31,0.93
20191218,0,佳木斯,16.0,10.0,44.0,16.0,47.0,12.0,12.0,17.0,23.0,36.0,52.0,35.0,45.0,0.42,0.68
20191218,0,保定,48.0,28.0,57.0,48.0,71.0,14.0,9.0,66.0,44.0,6.0,51.0,20.0,40.0,0.77,1.03
20191218,0,保山,43.0,30.0,30.0,24.0,33.0,5.0,6.0,12.0,20.0,75.0,101.0,79.0,89.0,0.45,0.5
20191218,0,信阳,89.0,66.0,51.0,82.0,64.0,5.0,6.0,42.0,37.0,21.0,28.0,19.0,21.0,1.07,1.13
20191218,0,克州,72.0,38.0,40.0,93.0,75.0,5.0,7.0,40.0,31.0,35.0,81.0,54.0,68.0,1.1,0.9
20191218,0,克拉玛依,40.0,27.0,36.0,40.0,55.0,4.0,4.0,28.0,34.0,37.0,48.0,31.0,34.0,0.76,0.96
20191218,0,六安,125.0,95.0,51.0,110.0,64.0,5.0,5.0,44.0,41.0,27.0,31.0,16.0,19.0,1.48,1.3
20191218,0,六盘水,154.0,118.0,56.0,167.0,87.0,20.0,21.0,19.0,26.0,55.0,105.0,69.0,91.0,1.1,0.97
20191218,0,兰州,44.0,27.0,26.0,44.0,46.0,12.0,23.0,23.0,29.0,70.0,79.0,56.0,70.0,0.72,0.65
20191218,0,兴安盟,19.0,12.0,16.0,15.0,26.0,3.0,6.0,6.0,7.0,60.0,68.0,60.0,61.0,0.23,0.23
20191218,0,内江,53.0,37.0,33.0,47.0,46.0,3.0,4.0,20.0,24.0,39.0,41.0,31.0,32.0,0.72,0.93
20191218,0,凉山州,30.0,17.0,17.0,30.0,34.0,15.0,16.0,14.0,18.0,74.0,96.0,83.0,92.0,0.4,0.55
20191218,0,包头,94.0,70.0,31.0,81.0,45.0,14.0,16.0,59.0,35.0,11.0,62.0,14.0,54.0,1.6,1.24
20191218,0,北京,13.0,8.0,10.0,12.0,18.0,2.0,2.0,18.0,14.0,43.0,59.0,49.0,56.0,0.31,0.31
20191218,0,北海,38.0,20.0,24.0,38.0,50.0,6.0,7.0,15.0,14.0,44.0,74.0,54.0,65.0,0.47,0.6
20191218,0,十堰,66.0,47.0,61.0,82.0,97.0,9.0,7.0,33.0,35.0,26.0,38.0,17.0,17.0,0.87,1.23
20191218,0,南京,123.0,93.0,56.0,102.0,65.0,5.0,7.0,47.0,45.0,15.0,16.0,10.0,10.0,1.36,1.32
20191218,0,南充,61.0,44.0,49.0,69.0,65.0,3.0,6.0,25.0,23.0,24.0,37.0,25.0,29.0,0.68,0.9
20191218,0,南宁,46.0,23.0,29.0,46.0,49.0,7.0,7.0,33.0,28.0,23.0,62.0,35.0,50.0,0.63,0.69
20191218,0,南平,51.0,35.0,32.0,52.0,52.0,9.0,10.0,47.0,36.0,6.0,96.0,17.0,71.0,0.9,0.73
