date,hour,城市,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20200112,0,七台河,85.0,63.0,94.0,74.0,109.0,19.0,18.0,46.0,65.0,37.0,48.0,34.0,41.0,1.0,1.1
20200112,0,三亚,31.0,10.0,8.0,31.0,28.0,4.0,4.0,11.0,8.0,59.0,78.0,64.0,73.0,0.5,0.5
20200112,0,三明,13.0,9.0,30.0,13.0,42.0,7.0,12.0,24.0,29.0,11.0,32.0,9.0,26.0,1.13,1.33
20200112,0,三门峡,115.0,87.0,87.0,79.0,97.0,8.0,12.0,57.0,36.0,15.0,70.0,28.0,63.0,1.1,1.07
20200112,0,上海,85.0,63.0,31.0,39.0,22.0,6.0,6.0,43.0,39.0,50.0,67.0,47.0,57.0,0.87,0.68
20200112,0,上饶,23.0,16.0,10.0,21.0,16.0,5.0,18.0,19.0,28.0,15.0,15.0,8.0,8.0,0.65,0.95
20200112,0,东莞,44.0,25.0,65.0,44.0,77.0,8.0,8.0,41.0,61.0,8.0,101.0,13.0,57.0,1.2,0.96
20200112,0,东营,32.0,16.0,60.0,32.0,86.0,6.0,11.0,39.0,38.0,34.0,70.0,52.0,66.0,0.5,0.9
20200112,0,中卫,130.0,99.0,106.0,104.0,116.0,9.0,10.0,53.0,35.0,35.0,79.0,46.0,65.0,1.0,1.0
20200112,0,中山,37.0,10.0,32.0,37.0,57.0,6.0,5.0,44.0,37.0,3.0,157.0,25.0,103.0,1.1,0.97
20200112,0,临夏州,97.0,55.0,38.0,143.0,86.0,14.0,12.0,53.0,35.0,17.0,94.0,41.0,80.0,2.65,1.25
20200112,0,临安,29.0,20.0,11.0,29.0,16.0,1.0,2.0,22.0,35.0,27.0,30.0,18.0,23.0,1.0,0.9
20200112,0,临汾,149.0,114.0,108.0,139.0,127.0,38.0,25.0,45.0,39.0,35.0,74.0,43.0,67.0,1.68,1.92
20200112,0,临沂,150.0,115.0,112.0,138.0,155.0,10.0,23.0,55.0,66.0,15.0,41.0,21.0,33.0,1.3,1.68
20200112,0,临沧,49.0,34.0,26.0,37.0,25.0,8.0,8.0,21.0,16.0,30.0,79.0,51.0,68.0,0.85,0.75
20200112,0,丹东,33.0,23.0,31.0,33.0,47.0,15.0,20.0,18.0,23.0,53.0,71.0,58.0,66.0,0.65,0.9
20200112,0,丽水,17.0,7.0,6.0,8.0,10.0,4.0,4.0,33.0,41.0,12.0,15.0,11.0,11.0,0.53,0.7
20200112,0,丽江,25.0,17.0,13.0,25.0,22.0,8.0,8.0,18.0,12.0,52.0,89.0,66.0,83.0,0.75,0.6
20200112,0,义乌,18.0,12.0,9.0,15.0,9.0,8.0,6.0,36.0,37.0,17.0,31.0,14.0,26.0,0.7,0.55
20200112,0,乌兰察布,79.0,58.0,30.0,56.0,37.0,34.0,33.0,76.0,61.0,3.0,46.0,10.0,29.0,1.7,0.95
20200112,0,乌海,191.0,144.0,126.0,216.0,187.0,20.0,38.0,59.0,63.0,21.0,44.0,24.0,28.0,2.13,2.03
20200112,0,乌鲁木齐,218.0,168.0,104.0,183.0,94.0,6.0,7.0,77.0,72.0,20.0,51.0,27.0,37.0,2.42,1.73
20200112,0,乐山,63.0,45.0,36.0,49.0,44.0,6.0,8.0,58.0,38.0,3.0,97.0,41.0,77.0,1.43,1.17
20200112,0,九江,61.0,44.0,40.0,48.0,44.0,8.0,8.0,33.0,32.0,16.0,17.0,10.0,10.0,0.57,0.79
20200112,0,乳山,31.0,9.0,42.0,31.0,66.0,9.0,12.0,17.0,31.0,56.0,72.0,60.0,66.0,0.85,1.4
20200112,0,云浮,35.0,17.0,31.0,35.0,61.0,31.0,23.0,31.0,40.0,4.0,35.0,7.0,24.0,0.95,0.9
20200112,0,五家渠,391.0,341.0,264.0,445.0,352.0,8.0,10.0,90.0,72.0,,51.0,38.0,42.0,2.8,2.5
