date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20200623,0,Shanghai,23.0,16.0,14.0,23.0,19.0,4.0,5.0,24.0,23.0,59.0,93.0,72.0,87.0,0.58,0.56
20200623,0,Urumqi,27.0,14.0,16.0,27.0,49.0,9.0,9.0,35.0,30.0,63.0,123.0,96.0,110.0,0.58,0.6
20200623,0,Lanzhou,52.0,30.0,20.0,54.0,35.0,5.0,6.0,58.0,25.0,37.0,120.0,78.0,111.0,0.7,0.53
20200623,0,Beijing,53.0,31.0,48.0,56.0,81.0,5.0,4.0,26.0,22.0,104.0,200.0,158.0,191.0,0.75,0.69
20200623,0,Nanjing,21.0,12.0,14.0,18.0,24.0,5.0,4.0,16.0,20.0,67.0,95.0,85.0,87.0,0.66,0.74
20200623,0,Nanning,37.0,19.0,15.0,37.0,35.0,5.0,4.0,21.0,15.0,53.0,88.0,72.0,81.0,0.67,0.57
20200623,0,Nanchang,39.0,12.0,26.0,39.0,52.0,8.0,9.0,47.0,27.0,11.0,158.0,26.0,105.0,0.74,0.7
20200623,0,Hefei,19.0,13.0,16.0,15.0,21.0,5.0,5.0,22.0,27.0,36.0,60.0,36.0,45.0,0.58,0.57
20200623,0,Hohhot,40.0,17.0,15.0,40.0,28.0,7.0,8.0,44.0,21.0,37.0,131.0,85.0,107.0,0.66,0.65
20200623,0,Harbin,16.0,9.0,12.0,16.0,30.0,12.0,14.0,24.0,31.0,48.0,102.0,44.0,87.0,0.48,0.57
20200623,0,Tianjin,53.0,25.0,35.0,56.0,66.0,5.0,9.0,21.0,21.0,98.0,213.0,136.0,179.0,0.64,0.84
20200623,0,Taiyuan,96.0,72.0,56.0,119.0,96.0,30.0,21.0,49.0,31.0,80.0,214.0,150.0,193.0,1.1,0.9
20200623,0,Guangzhou,31.0,12.0,11.0,31.0,30.0,6.0,6.0,26.0,21.0,22.0,130.0,57.0,109.0,0.57,0.57
20200623,0,Chengdu,36.0,20.0,22.0,36.0,34.0,4.0,3.0,50.0,28.0,15.0,126.0,68.0,94.0,0.91,0.8
20200623,0,Lhasa,30.0,10.0,9.0,30.0,27.0,8.0,8.0,17.0,12.0,45.0,77.0,64.0,71.0,0.42,0.42
20200623,0,Kunming,42.0,15.0,12.0,42.0,25.0,11.0,9.0,31.0,18.0,14.0,66.0,36.0,55.0,0.77,0.7
20200623,0,Hangzhou,46.0,31.0,17.0,46.0,25.0,6.0,4.0,57.0,37.0,9.0,71.0,34.0,57.0,0.77,0.61
20200623,0,Wuhan,21.0,13.0,15.0,16.0,19.0,5.0,5.0,41.0,34.0,16.0,34.0,18.0,25.0,0.83,0.88
20200623,0,Shenyang,60.0,36.0,29.0,70.0,60.0,18.0,17.0,29.0,23.0,82.0,191.0,125.0,176.0,1.44,0.92
20200623,0,Jinan,40.0,24.0,26.0,40.0,52.0,6.0,8.0,12.0,13.0,79.0,168.0,116.0,151.0,0.45,0.57
20200623,0,Haikou,21.0,6.0,10.0,21.0,23.0,3.0,3.0,13.0,12.0,18.0,91.0,31.0,70.0,0.5,0.43
20200623,0,Shijiazhuang,56.0,37.0,41.0,61.0,73.0,11.0,13.0,22.0,20.0,101.0,176.0,131.0,168.0,0.54,0.56
20200623,0,Fuzhou,42.0,17.0,24.0,42.0,57.0,4.0,4.0,38.0,28.0,26.0,186.0,80.0,156.0,0.68,0.7
20200623,0,Xining,24.0,17.0,11.0,23.0,15.0,8.0,8.0,29.0,24.0,59.0,100.0,75.0,89.0,0.63,0.5
20200623,0,Xi'an,45.0,24.0,22.0,45.0,36.0,5.0,5.0,41.0,24.0,29.0,95.0,61.0,81.0,0.72,0.62
20200623,0,Guiyang,39.0,21.0,14.0,39.0,33.0,8.0,7.0,15.0,14.0,63.0,69.0,60.0,60.0,0.76,0.61
20200623,0,Zhengzhou,56.0,31.0,26.0,62.0,57.0,3.0,5.0,37.0,40.0,50.0,113.0,79.0,104.0,0.57,0.57
20200623,0,Chongqing,46.0,32.0,29.0,45.0,45.0,7.0,7.0,38.0,38.0,27.0,70.0,45.0,53.0,0.84,0.87
20200623,0,Yinchuan,57.0,24.0,20.0,63.0,48.0,15.0,8.0,31.0,16.0,64.0,122.0,95.0,111.0,0.64,0.36
20200623,0,Changchun,37.0,23.0,27.0,37.0,40.0,4.0,4.0,33.0,25.0,37.0,148.0,78.0,128.0,0.59,0.68
20200623,0,Changsha,26.0,18.0,23.0,19.0,29.0,5.0,5.0,16.0,16.0,36.0,107.0,41.0,74.0,0.61,0.73
20200623,1,Shanghai,21.0,15.0,13.0,15.0,19.0,4.0,5.0,20.0,23.0,63.0,93.0,63.0,63.0,0.57,0.56
20200623,1,Urumqi,27.0,13.0,16.0,27.0,48.0,9.0,9.0,41.0,30.0,48.0,123.0,48.0,48.0,0.58,0.6
20200623,1,Lanzhou,55.0,30.0,21.0,59.0,36.0,6.0,6.0,63.0,27.0,28.0,120.0,28.0,28.0,0.57,0.57
20200623,1,Beijing,58.0,30.0,47.0,66.0,79.0,4.0,4.0,25.0,21.0,93.0,200.0,93.0,93.0,0.58,0.67
20200623,1,Nanjing,20.0,14.0,15.0,18.0,24.0,5.0,5.0,17.0,20.0,58.0,97.0,58.0,58.0,0.66,0.75
20200623,1,Nanning,43.0,17.0,15.0,43.0,36.0,4.0,4.0,18.0,15.0,56.0,88.0,56.0,56.0,0.63,0.57
20200623,1,Nanchang,32.0,10.0,25.0,32.0,51.0,8.0,9.0,35.0,28.0,16.0,158.0,16.0,16.0,0.5,0.71
20200623,1,Hefei,19.0,13.0,16.0,16.0,21.0,5.0,5.0,23.0,27.0,31.0,53.0,31.0,31.0,0.58,0.59
20200623,1,Hohhot,45.0,19.0,15.0,45.0,28.0,7.0,8.0,45.0,22.0,26.0,124.0,26.0,26.0,0.69,0.65
20200623,1,Harbin,17.0,6.0,12.0,12.0,29.0,12.0,14.0,19.0,30.0,54.0,102.0,54.0,54.0,0.47,0.57
20200623,1,Tianjin,39.0,25.0,35.0,39.0,65.0,8.0,8.0,22.0,21.0,81.0,213.0,81.0,81.0,0.68,0.84
20200623,1,Taiyuan,96.0,72.0,57.0,119.0,98.0,33.0,22.0,51.0,32.0,64.0,214.0,64.0,64.0,1.19,0.91
20200623,1,Guangzhou,31.0,11.0,11.0,31.0,30.0,6.0,6.0,26.0,21.0,21.0,130.0,21.0,21.0,0.56,0.57
20200623,1,Chengdu,36.0,21.0,22.0,36.0,34.0,3.0,3.0,44.0,29.0,12.0,126.0,12.0,12.0,0.89,0.8
20200623,1,Lhasa,28.0,12.0,9.0,28.0,29.0,8.0,8.0,10.0,11.0,60.0,78.0,60.0,60.0,0.4,0.42
20200623,1,Kunming,53.0,14.0,13.0,55.0,26.0,10.0,9.0,31.0,18.0,12.0,66.0,12.0,12.0,0.73,0.7
20200623,1,Hangzhou,50.0,32.0,18.0,50.0,27.0,5.0,4.0,58.0,38.0,8.0,71.0,8.0,8.0,0.82,0.63
20200623,1,Wuhan,23.0,16.0,15.0,14.0,19.0,5.0,5.0,38.0,34.0,18.0,34.0,18.0,18.0,0.82,0.88
20200623,1,Shenyang,62.0,38.0,29.0,73.0,61.0,33.0,17.0,38.0,23.0,60.0,191.0,60.0,60.0,1.49,0.94
20200623,1,Jinan,37.0,22.0,25.0,37.0,51.0,5.0,8.0,10.0,13.0,78.0,171.0,78.0,78.0,0.41,0.54
20200623,1,Haikou,14.0,7.0,9.0,14.0,23.0,4.0,3.0,12.0,12.0,20.0,91.0,20.0,20.0,0.5,0.43
20200623,1,Shijiazhuang,62.0,42.0,42.0,74.0,73.0,13.0,13.0,24.0,20.0,89.0,176.0,89.0,89.0,0.64,0.56
20200623,1,Fuzhou,45.0,18.0,24.0,45.0,57.0,4.0,4.0,36.0,28.0,22.0,186.0,22.0,22.0,0.68,0.72
20200623,1,Xining,23.0,16.0,11.0,20.0,16.0,8.0,8.0,28.0,25.0,50.0,100.0,50.0,50.0,0.57,0.53
