date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20200529,0,Shanghai,126.0,96.0,63.0,112.0,73.0,8.0,9.0,53.0,47.0,110.0,264.0,157.0,222.0,0.97,0.91
20200529,0,Urumqi,62.0,18.0,28.0,73.0,137.0,8.0,7.0,39.0,14.0,62.0,109.0,88.0,99.0,0.47,0.43
20200529,0,Lanzhou,58.0,22.0,21.0,66.0,56.0,7.0,11.0,60.0,43.0,41.0,170.0,93.0,137.0,0.4,0.85
20200529,0,Beijing,69.0,50.0,37.0,84.0,62.0,5.0,5.0,32.0,32.0,124.0,221.0,156.0,194.0,0.83,0.68
20200529,0,Nanjing,67.0,39.0,36.0,84.0,75.0,8.0,12.0,47.0,37.0,85.0,229.0,155.0,204.0,0.98,1.11
20200529,0,Nanning,73.0,45.0,34.0,95.0,71.0,13.0,12.0,56.0,42.0,41.0,173.0,100.0,144.0,0.93,0.9
20200529,0,Nanchang,65.0,34.0,48.0,80.0,93.0,15.0,20.0,61.0,37.0,37.0,173.0,91.0,148.0,0.55,0.72
20200529,0,Hefei,77.0,53.0,34.0,104.0,87.0,6.0,7.0,31.0,33.0,95.0,178.0,130.0,165.0,0.87,0.61
20200529,0,Hohhot,72.0,27.0,22.0,93.0,71.0,9.0,11.0,57.0,34.0,42.0,138.0,92.0,126.0,0.63,0.57
20200529,0,Harbin,54.0,22.0,19.0,58.0,44.0,11.0,11.0,53.0,34.0,57.0,131.0,77.0,124.0,0.52,0.48
20200529,0,Tianjin,68.0,47.0,30.0,85.0,63.0,8.0,8.0,57.0,38.0,68.0,211.0,136.0,183.0,1.07,0.67
20200529,0,Taiyuan,98.0,45.0,37.0,146.0,108.0,14.0,20.0,91.0,55.0,41.0,172.0,100.0,156.0,0.75,0.7
20200529,0,Guangzhou,67.0,43.0,34.0,83.0,62.0,12.0,8.0,71.0,46.0,24.0,155.0,76.0,122.0,1.13,0.92
20200529,0,Chengdu,52.0,29.0,21.0,54.0,41.0,5.0,8.0,64.0,32.0,43.0,145.0,108.0,132.0,0.53,0.5
20200529,0,Lhasa,45.0,15.0,11.0,45.0,28.0,6.0,6.0,48.0,21.0,63.0,136.0,107.0,130.0,0.58,0.48
20200529,0,Kunming,38.0,22.0,27.0,38.0,45.0,6.0,6.0,48.0,30.0,16.0,94.0,43.0,66.0,0.78,0.77
20200529,0,Hangzhou,78.0,54.0,37.0,106.0,71.0,6.0,6.0,82.0,56.0,9.0,120.0,46.0,94.0,1.08,0.89
20200529,0,Wuhan,65.0,47.0,42.0,80.0,78.0,7.0,8.0,58.0,36.0,54.0,160.0,98.0,139.0,0.98,0.73
20200529,0,Shenyang,59.0,33.0,23.0,67.0,43.0,11.0,22.0,71.0,35.0,33.0,145.0,90.0,131.0,0.71,0.92
20200529,0,Jinan,58.0,22.0,17.0,66.0,55.0,12.0,10.0,20.0,26.0,155.0,209.0,181.0,196.0,0.45,0.45
20200529,0,Haikou,23.0,14.0,25.0,23.0,47.0,4.0,6.0,9.0,17.0,54.0,153.0,95.0,128.0,0.57,0.78
20200529,0,Shijiazhuang,73.0,30.0,21.0,96.0,73.0,24.0,16.0,47.0,38.0,83.0,200.0,145.0,179.0,0.49,0.51
