date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20200521,0,Shanghai,52.0,21.0,39.0,53.0,70.0,7.0,9.0,26.0,35.0,117.0,217.0,143.0,197.0,0.53,0.64
20200521,0,Urumqi,109.0,27.0,20.0,168.0,77.0,9.0,9.0,20.0,17.0,64.0,99.0,84.0,93.0,0.45,0.45
20200521,0,Lanzhou,64.0,36.0,32.0,78.0,91.0,10.0,20.0,67.0,59.0,51.0,162.0,108.0,137.0,0.88,0.95
20200521,0,Beijing,78.0,57.0,21.0,78.0,46.0,4.0,3.0,25.0,20.0,115.0,220.0,179.0,192.0,1.03,0.43
20200521,0,Nanjing,84.0,56.0,30.0,117.0,76.0,14.0,12.0,37.0,47.0,143.0,248.0,169.0,222.0,0.88,0.81
20200521,0,Nanning,45.0,23.0,22.0,45.0,42.0,6.0,6.0,22.0,18.0,67.0,110.0,79.0,92.0,0.81,0.84
20200521,0,Nanchang,59.0,31.0,34.0,68.0,84.0,7.0,14.0,26.0,44.0,109.0,189.0,118.0,162.0,0.45,0.53
20200521,0,Hefei,73.0,41.0,30.0,95.0,84.0,11.0,10.0,68.0,47.0,103.0,209.0,149.0,189.0,0.63,0.63
20200521,0,Hohhot,49.0,17.0,18.0,49.0,53.0,10.0,8.0,40.0,30.0,52.0,144.0,103.0,131.0,0.65,0.54
20200521,0,Harbin,36.0,13.0,16.0,36.0,36.0,11.0,12.0,22.0,24.0,53.0,91.0,69.0,84.0,0.4,0.48
20200521,0,Tianjin,86.0,64.0,53.0,79.0,91.0,9.0,14.0,31.0,45.0,101.0,268.0,175.0,231.0,0.94,1.01
20200521,0,Taiyuan,78.0,42.0,40.0,106.0,100.0,28.0,18.0,52.0,54.0,87.0,189.0,134.0,173.0,0.82,0.76
20200521,0,Guangzhou,21.0,12.0,17.0,21.0,34.0,5.0,6.0,32.0,35.0,47.0,166.0,59.0,117.0,0.66,0.71
20200521,0,Chengdu,76.0,56.0,43.0,85.0,72.0,4.0,5.0,46.0,22.0,41.0,137.0,94.0,118.0,0.73,0.57
20200521,0,Lhasa,25.0,11.0,13.0,15.0,26.0,8.0,7.0,24.0,21.0,81.0,109.0,86.0,103.0,0.46,0.44
20200521,0,Kunming,39.0,19.0,25.0,39.0,46.0,11.0,8.0,31.0,18.0,45.0,112.0,67.0,103.0,0.65,0.65
20200521,0,Hangzhou,71.0,42.0,39.0,92.0,87.0,8.0,7.0,54.0,52.0,58.0,235.0,145.0,207.0,0.71,0.65
20200521,0,Wuhan,88.0,65.0,43.0,97.0,87.0,9.0,15.0,53.0,48.0,54.0,129.0,74.0,121.0,0.94,0.91
20200521,0,Shenyang,48.0,24.0,19.0,48.0,36.0,19.0,9.0,40.0,26.0,22.0,123.0,68.0,110.0,1.23,0.61
20200521,0,Jinan,70.0,30.0,29.0,90.0,85.0,13.0,12.0,22.0,35.0,168.0,210.0,191.0,194.0,0.63,0.67
20200521,0,Haikou,35.0,21.0,18.0,35.0,30.0,5.0,4.0,14.0,17.0,37.0,98.0,59.0,88.0,0.57,0.6
20200521,0,Shijiazhuang,86.0,48.0,37.0,122.0,102.0,14.0,18.0,49.0,57.0,111.0,254.0,182.0,224.0,0.66,0.83
20200521,0,Fuzhou,33.0,23.0,21.0,31.0,58.0,3.0,4.0,19.0,17.0,77.0,132.0,84.0,120.0,0.7,0.66
20200521,0,Xining,28.0,14.0,26.0,28.0,49.0,7.0,19.0,30.0,30.0,77.0,133.0,91.0,117.0,0.77,0.87
20200521,0,Xi'an,74.0,38.0,36.0,97.0,80.0,8.0,8.0,56.0,39.0,49.0,148.0,101.0,128.0,0.72,0.63
