date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20200511,0,Shanghai,123.0,93.0,77.0,56.0,65.0,6.0,7.0,43.0,48.0,51.0,120.0,77.0,89.0,0.91,1.02
20200511,0,Urumqi,81.0,34.0,38.0,111.0,170.0,7.0,7.0,25.0,23.0,86.0,112.0,101.0,106.0,0.45,0.48
20200511,0,Lanzhou,87.0,43.0,40.0,123.0,126.0,5.0,14.0,15.0,41.0,77.0,165.0,87.0,124.0,0.22,0.6
20200511,0,Beijing,21.0,11.0,19.0,21.0,60.0,3.0,2.0,18.0,17.0,52.0,89.0,70.0,84.0,0.21,0.35
20200511,0,Nanjing,61.0,34.0,31.0,71.0,49.0,8.0,5.0,91.0,31.0,12.0,148.0,79.0,134.0,1.1,0.79
20200511,0,Nanning,53.0,37.0,34.0,55.0,57.0,7.0,6.0,22.0,18.0,64.0,141.0,91.0,130.0,0.89,0.74
20200511,0,Nanchang,67.0,48.0,30.0,83.0,47.0,5.0,6.0,64.0,19.0,43.0,134.0,101.0,128.0,0.76,0.61
20200511,0,Hefei,54.0,37.0,28.0,58.0,44.0,5.0,5.0,65.0,27.0,57.0,126.0,81.0,119.0,0.73,0.52
20200511,0,Hohhot,22.0,7.0,12.0,22.0,59.0,6.0,5.0,24.0,7.0,61.0,93.0,77.0,88.0,0.54,0.44
20200511,0,Harbin,28.0,17.0,36.0,28.0,83.0,13.0,16.0,17.0,39.0,60.0,140.0,76.0,125.0,0.55,0.68
20200511,0,Tianjin,26.0,11.0,27.0,26.0,77.0,4.0,4.0,28.0,25.0,51.0,104.0,72.0,95.0,0.38,0.55
20200511,0,Taiyuan,47.0,9.0,58.0,47.0,125.0,10.0,18.0,24.0,37.0,63.0,208.0,89.0,144.0,0.41,0.84
20200511,0,Guangzhou,40.0,22.0,15.0,40.0,32.0,5.0,6.0,53.0,34.0,7.0,102.0,23.0,70.0,0.83,0.68
20200511,0,Chengdu,64.0,33.0,17.0,78.0,40.0,7.0,6.0,59.0,29.0,75.0,166.0,131.0,152.0,0.57,0.44
20200511,0,Lhasa,55.0,13.0,14.0,59.0,42.0,6.0,7.0,27.0,20.0,84.0,127.0,108.0,120.0,0.47,0.45
20200511,0,Kunming,68.0,40.0,42.0,86.0,80.0,13.0,14.0,66.0,43.0,53.0,149.0,105.0,141.0,0.72,0.68
20200511,0,Hangzhou,65.0,46.0,35.0,80.0,57.0,5.0,5.0,58.0,36.0,8.0,90.0,42.0,68.0,0.86,0.72
20200511,0,Wuhan,59.0,24.0,15.0,67.0,31.0,7.0,6.0,98.0,27.0,9.0,136.0,76.0,122.0,0.7,0.58
20200511,0,Shenyang,137.0,29.0,39.0,224.0,199.0,5.0,11.0,21.0,28.0,56.0,125.0,68.0,104.0,0.29,0.8
20200511,0,Jinan,90.0,55.0,39.0,130.0,80.0,9.0,14.0,68.0,27.0,40.0,155.0,102.0,141.0,0.86,0.97
20200511,0,Haikou,19.0,6.0,16.0,19.0,38.0,4.0,4.0,13.0,16.0,55.0,113.0,67.0,95.0,0.53,0.55
20200511,0,Shijiazhuang,60.0,25.0,27.0,70.0,78.0,7.0,11.0,28.0,34.0,60.0,133.0,81.0,118.0,0.49,0.5
20200511,0,Fuzhou,30.0,7.0,14.0,15.0,31.0,3.0,4.0,14.0,22.0,96.0,156.0,106.0,123.0,0.86,0.7
20200511,0,Xining,89.0,60.0,34.0,128.0,74.0,6.0,10.0,21.0,31.0,67.0,121.0,89.0,113.0,0.47,0.9
20200511,0,Xi'an,73.0,21.0,27.0,96.0,78.0,6.0,7.0,30.0,38.0,67.0,121.0,71.0,103.0,0.5,0.54
20200511,0,Guiyang,51.0,28.0,31.0,51.0,58.0,6.0,7.0,17.0,14.0,77.0,126.0,96.0,111.0,0.67,0.62
