date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20200425,1,Shanghai,63.0,45.0,39.0,74.0,72.0,10.0,10.0,51.0,50.0,95.0,173.0,95.0,95.0,0.67,0.6
20200425,1,Urumqi,85.0,24.0,19.0,120.0,87.0,7.0,6.0,21.0,13.0,95.0,119.0,95.0,95.0,0.4,0.42
20200425,1,Lanzhou,77.0,31.0,26.0,104.0,71.0,12.0,13.0,81.0,41.0,22.0,159.0,22.0,22.0,0.55,0.53
20200425,1,Beijing,103.0,20.0,19.0,156.0,137.0,2.0,2.0,5.0,16.0,93.0,108.0,93.0,93.0,0.21,0.2
20200425,1,Nanjing,61.0,28.0,30.0,72.0,79.0,11.0,12.0,93.0,61.0,31.0,166.0,31.0,31.0,0.96,0.96
20200425,1,Nanning,37.0,24.0,18.0,37.0,26.0,13.0,7.0,36.0,26.0,17.0,59.0,17.0,17.0,0.79,0.81
20200425,1,Nanchang,81.0,50.0,41.0,111.0,88.0,25.0,11.0,71.0,53.0,63.0,172.0,63.0,63.0,0.51,0.5
20200425,1,Hefei,71.0,39.0,33.0,91.0,96.0,9.0,11.0,90.0,68.0,41.0,132.0,41.0,41.0,0.59,0.61
20200425,1,Hohhot,70.0,39.0,29.0,89.0,101.0,8.0,11.0,32.0,26.0,51.0,111.0,51.0,51.0,0.65,0.64
20200425,1,Harbin,48.0,19.0,22.0,48.0,40.0,11.0,12.0,24.0,28.0,56.0,101.0,56.0,56.0,0.57,0.56
20200425,1,Tianjin,116.0,27.0,25.0,182.0,112.0,10.0,9.0,37.0,28.0,55.0,114.0,55.0,55.0,0.62,0.51
20200425,1,Taiyuan,89.0,42.0,31.0,128.0,88.0,25.0,16.0,82.0,48.0,17.0,114.0,17.0,17.0,0.74,0.6
20200425,1,Guangzhou,49.0,31.0,19.0,49.0,30.0,7.0,6.0,65.0,33.0,8.0,74.0,8.0,8.0,0.78,0.7
20200425,1,Chengdu,31.0,13.0,30.0,29.0,49.0,4.0,5.0,61.0,37.0,34.0,140.0,34.0,34.0,0.49,0.41
20200425,1,Lhasa,28.0,7.0,8.0,16.0,16.0,5.0,6.0,17.0,14.0,89.0,117.0,89.0,89.0,0.45,0.45
20200425,1,Kunming,44.0,31.0,17.0,26.0,20.0,6.0,7.0,26.0,21.0,44.0,76.0,44.0,44.0,0.68,0.62
20200425,1,Hangzhou,66.0,34.0,33.0,81.0,75.0,7.0,7.0,81.0,57.0,31.0,170.0,31.0,31.0,0.74,0.65
20200425,1,Wuhan,52.0,21.0,24.0,53.0,52.0,7.0,9.0,49.0,36.0,66.0,128.0,66.0,66.0,0.46,0.47
20200425,1,Shenyang,74.0,14.0,31.0,97.0,108.0,6.0,22.0,12.0,31.0,73.0,88.0,73.0,73.0,0.34,0.78
20200425,1,Jinan,77.0,28.0,33.0,104.0,110.0,13.0,15.0,24.0,25.0,88.0,142.0,88.0,88.0,0.53,0.65
20200425,1,Haikou,20.0,7.0,8.0,17.0,15.0,3.0,3.0,6.0,9.0,64.0,73.0,64.0,64.0,0.67,0.78
20200425,1,Shijiazhuang,65.0,17.0,15.0,80.0,66.0,11.0,10.0,42.0,32.0,57.0,108.0,57.0,57.0,0.37,0.36
20200425,1,Fuzhou,49.0,22.0,20.0,49.0,38.0,5.0,5.0,48.0,27.0,36.0,125.0,36.0,36.0,0.58,0.56
20200425,1,Xining,41.0,24.0,29.0,41.0,55.0,6.0,12.0,43.0,30.0,69.0,121.0,69.0,69.0,0.7,1.0
20200425,1,Xi'an,80.0,35.0,33.0,109.0,88.0,9.0,11.0,85.0,54.0,10.0,125.0,10.0,10.0,0.67,0.53
20200425,1,Guiyang,54.0,29.0,19.0,57.0,35.0,12.0,11.0,38.0,18.0,26.0,86.0,26.0,26.0,0.63,0.53
20200425,1,Zhengzhou,54.0,19.0,38.0,58.0,98.0,10.0,11.0,30.0,39.0,84.0,123.0,84.0,84.0,0.36,0.51
20200425,1,Chongqing,53.0,33.0,28.0,55.0,43.0,6.0,6.0,68.0,39.0,23.0,115.0,23.0,23.0,0.9,0.64
20200425,1,Yinchuan,32.0,15.0,27.0,32.0,62.0,14.0,13.0,47.0,41.0,47.0,111.0,47.0,47.0,0.56,0.64
20200425,1,Changchun,27.0,15.0,19.0,22.0,35.0,5.0,5.0,10.0,25.0,86.0,97.0,86.0,86.0,0.41,0.5
20200425,1,Changsha,75.0,54.0,40.0,100.0,58.0,9.0,7.0,77.0,35.0,34.0,179.0,34.0,34.0,0.94,0.64
20200425,2,Shanghai,63.0,45.0,40.0,76.0,73.0,9.0,10.0,53.0,51.0,83.0,173.0,89.0,95.0,0.67,0.61
20200425,2,Urumqi,79.0,19.0,19.0,108.0,88.0,8.0,7.0,17.0,13.0,99.0,119.0,97.0,97.0,0.43,0.4
20200425,2,Lanzhou,77.0,28.0,26.0,103.0,72.0,13.0,13.0,87.0,43.0,9.0,159.0,16.0,22.0,0.58,0.53
20200425,2,Beijing,110.0,14.0,19.0,170.0,143.0,3.0,2.0,5.0,14.0,93.0,108.0,93.0,94.0,0.19,0.2
20200425,2,Nanjing,64.0,29.0,30.0,77.0,79.0,11.0,12.0,82.0,60.0,43.0,166.0,37.0,38.0,0.97,0.94
20200425,2,Nanning,34.0,24.0,18.0,32.0,26.0,8.0,7.0,26.0,26.0,26.0,59.0,22.0,22.0,0.71,0.8
20200425,2,Nanchang,79.0,53.0,41.0,108.0,89.0,22.0,12.0,79.0,52.0,53.0,172.0,58.0,63.0,0.51,0.5
20200425,2,Hefei,59.0,36.0,32.0,68.0,93.0,8.0,10.0,60.0,67.0,67.0,132.0,54.0,54.0,0.5,0.59
20200425,2,Hohhot,69.0,29.0,29.0,88.0,101.0,6.0,10.0,15.0,25.0,69.0,111.0,60.0,60.0,0.51,0.62
20200425,2,Harbin,29.0,10.0,21.0,29.0,40.0,13.0,12.0,20.0,27.0,55.0,101.0,56.0,57.0,0.55,0.56
20200425,2,Tianjin,119.0,35.0,25.0,188.0,117.0,12.0,9.0,35.0,29.0,54.0,114.0,54.0,56.0,0.72,0.52
20200425,2,Taiyuan,84.0,40.0,31.0,118.0,89.0,25.0,17.0,66.0,48.0,29.0,114.0,23.0,24.0,0.71,0.61
20200425,2,Guangzhou,50.0,32.0,20.0,50.0,31.0,7.0,6.0,64.0,34.0,7.0,74.0,7.0,8.0,0.79,0.71
20200425,2,Chengdu,32.0,15.0,29.0,32.0,48.0,4.0,5.0,55.0,37.0,36.0,140.0,35.0,38.0,0.46,0.41
20200425,2,Lhasa,26.0,9.0,8.0,19.0,16.0,5.0,6.0,18.0,15.0,84.0,117.0,86.0,89.0,0.45,0.45
20200425,2,Kunming,41.0,29.0,18.0,22.0,20.0,7.0,7.0,23.0,21.0,43.0,76.0,44.0,44.0,0.65,0.62
20200425,2,Hangzhou,65.0,33.0,33.0,80.0,75.0,7.0,8.0,72.0,56.0,32.0,170.0,31.0,33.0,0.7,0.65
20200425,2,Wuhan,49.0,20.0,24.0,49.0,51.0,7.0,8.0,45.0,36.0,69.0,128.0,67.0,69.0,0.47,0.46
20200425,2,Shenyang,75.0,22.0,30.0,99.0,110.0,6.0,21.0,12.0,31.0,68.0,88.0,70.0,73.0,0.4,0.78
20200425,2,Jinan,76.0,29.0,33.0,102.0,112.0,13.0,15.0,27.0,24.0,79.0,142.0,84.0,88.0,0.55,0.65
20200425,2,Haikou,21.0,6.0,8.0,16.0,15.0,3.0,3.0,5.0,9.0,66.0,72.0,65.0,66.0,0.67,0.78
20200425,2,Shijiazhuang,70.0,17.0,14.0,90.0,67.0,12.0,10.0,36.0,31.0,62.0,108.0,59.0,60.0,0.39,0.36
20200425,2,Fuzhou,48.0,22.0,20.0,48.0,39.0,5.0,5.0,43.0,28.0,47.0,125.0,42.0,43.0,0.58,0.56
20200425,2,Xining,42.0,24.0,28.0,42.0,55.0,6.0,12.0,37.0,31.0,64.0,121.0,67.0,71.0,0.73,1.03
20200425,2,Xi'an,84.0,35.0,32.0,117.0,88.0,9.0,10.0,83.0,54.0,7.0,125.0,9.0,10.0,0.63,0.53
20200425,2,Guiyang,55.0,28.0,19.0,59.0,35.0,12.0,11.0,34.0,19.0,26.0,86.0,26.0,28.0,0.66,0.53
20200425,2,Zhengzhou,55.0,18.0,36.0,59.0,96.0,10.0,11.0,27.0,37.0,86.0,123.0,85.0,86.0,0.39,0.5
20200425,2,Chongqing,52.0,31.0,28.0,54.0,43.0,6.0,6.0,65.0,40.0,18.0,115.0,20.0,22.0,0.92,0.66
20200425,2,Yinchuan,33.0,11.0,27.0,33.0,61.0,10.0,13.0,63.0,40.0,40.0,111.0,43.0,48.0,0.56,0.64
20200425,2,Changchun,29.0,15.0,18.0,19.0,34.0,4.0,5.0,8.0,24.0,93.0,98.0,89.0,89.0,0.4,0.5
20200425,2,Changsha,79.0,58.0,41.0,90.0,60.0,9.0,7.0,74.0,37.0,29.0,179.0,32.0,36.0,0.94,0.64
20200425,3,Shanghai,64.0,46.0,42.0,70.0,75.0,9.0,10.0,48.0,52.0,81.0,173.0,86.0,95.0,0.63,0.62
20200425,3,Urumqi,78.0,23.0,20.0,105.0,89.0,7.0,7.0,12.0,13.0,104.0,119.0,100.0,100.0,0.38,0.4
20200425,3,Lanzhou,95.0,32.0,26.0,140.0,75.0,13.0,13.0,83.0,44.0,9.0,159.0,13.0,22.0,0.55,0.55
20200425,3,Beijing,87.0,11.0,19.0,123.0,147.0,3.0,2.0,5.0,13.0,93.0,108.0,93.0,94.0,0.15,0.2
20200425,3,Nanjing,63.0,29.0,30.0,76.0,79.0,14.0,12.0,74.0,60.0,51.0,166.0,42.0,44.0,1.11,0.96
20200425,3,Nanning,37.0,26.0,19.0,33.0,27.0,9.0,7.0,23.0,26.0,26.0,59.0,23.0,23.0,0.76,0.8
