date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20200513,0,Shanghai,72.0,22.0,24.0,94.0,66.0,7.0,9.0,29.0,38.0,98.0,184.0,134.0,160.0,0.6,0.62
20200513,0,Urumqi,65.0,22.0,24.0,79.0,94.0,6.0,8.0,36.0,26.0,69.0,136.0,106.0,119.0,0.48,0.57
20200513,0,Lanzhou,52.0,25.0,28.0,54.0,85.0,5.0,14.0,19.0,48.0,90.0,161.0,105.0,129.0,0.43,0.75
20200513,0,Beijing,96.0,26.0,18.0,141.0,123.0,2.0,2.0,28.0,14.0,40.0,117.0,72.0,104.0,0.37,0.25
20200513,0,Nanjing,77.0,28.0,18.0,104.0,70.0,11.0,9.0,51.0,48.0,80.0,154.0,105.0,157.0,0.79,0.68
20200513,0,Nanning,52.0,34.0,25.0,54.0,39.0,8.0,8.0,28.0,21.0,89.0,156.0,117.0,134.0,0.97,1.06
20200513,0,Nanchang,73.0,31.0,22.0,96.0,83.0,12.0,9.0,84.0,25.0,36.0,162.0,104.0,154.0,0.61,0.35
20200513,0,Hefei,74.0,30.0,24.0,98.0,86.0,7.0,5.0,89.0,50.0,41.0,136.0,62.0,125.0,0.42,0.33
20200513,0,Hohhot,90.0,67.0,199.0,79.0,974.0,6.0,5.0,50.0,14.0,27.0,114.0,73.0,109.0,0.55,0.49
20200513,0,Harbin,27.0,8.0,9.0,27.0,17.0,11.0,11.0,12.0,16.0,80.0,92.0,64.0,87.0,0.48,0.49
20200513,0,Tianjin,78.0,25.0,19.0,106.0,94.0,7.0,4.0,32.0,19.0,54.0,123.0,83.0,109.0,0.56,0.34
20200513,0,Taiyuan,133.0,65.0,57.0,216.0,196.0,14.0,13.0,78.0,41.0,16.0,122.0,62.0,111.0,0.69,0.54
20200513,0,Guangzhou,63.0,45.0,25.0,72.0,42.0,8.0,6.0,60.0,31.0,36.0,140.0,81.0,122.0,1.04,0.9
20200513,0,Chengdu,84.0,53.0,56.0,118.0,123.0,7.0,6.0,81.0,67.0,25.0,57.0,33.0,43.0,0.63,0.57
20200513,0,Lhasa,33.0,10.0,13.0,16.0,24.0,7.0,6.0,18.0,12.0,104.0,142.0,114.0,133.0,0.43,0.42
20200513,0,Kunming,63.0,41.0,40.0,75.0,63.0,11.0,10.0,38.0,22.0,83.0,151.0,108.0,136.0,0.7,0.65
20200513,0,Hangzhou,61.0,21.0,14.0,72.0,46.0,7.0,7.0,96.0,38.0,14.0,165.0,83.0,148.0,0.76,0.47
20200513,0,Wuhan,83.0,42.0,30.0,116.0,82.0,8.0,9.0,107.0,50.0,15.0,157.0,84.0,143.0,0.77,0.52
20200513,0,Shenyang,68.0,25.0,14.0,85.0,55.0,8.0,6.0,36.0,21.0,40.0,93.0,47.0,87.0,0.58,0.37
20200513,0,Jinan,105.0,24.0,18.0,160.0,91.0,13.0,10.0,26.0,28.0,82.0,106.0,72.0,94.0,0.59,0.55
20200513,0,Haikou,18.0,8.0,9.0,15.0,22.0,3.0,4.0,22.0,15.0,56.0,99.0,67.0,84.0,0.57,0.57
20200513,0,Shijiazhuang,64.0,23.0,25.0,77.0,137.0,12.0,9.0,49.0,26.0,28.0,81.0,61.0,78.0,0.33,0.27
20200513,0,Fuzhou,83.0,61.0,42.0,83.0,55.0,5.0,4.0,31.0,31.0,93.0,132.0,105.0,116.0,0.98,0.96
20200513,0,Xining,57.0,30.0,30.0,64.0,66.0,9.0,12.0,52.0,38.0,78.0,121.0,99.0,114.0,0.47,0.77
20200513,0,Xi'an,75.0,32.0,19.0,100.0,60.0,7.0,7.0,80.0,45.0,9.0,124.0,57.0,109.0,0.76,0.5
