date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20200305,0,Shanghai,26.0,18.0,29.0,25.0,35.0,5.0,5.0,19.0,22.0,84.0,101.0,89.0,94.0,0.54,0.59
20200305,0,Urumqi,64.0,46.0,57.0,41.0,58.0,7.0,8.0,29.0,20.0,47.0,87.0,68.0,81.0,0.88,1.05
20200305,0,Lanzhou,64.0,40.0,36.0,78.0,82.0,13.0,23.0,75.0,63.0,23.0,155.0,57.0,115.0,1.3,1.2
20200305,0,Beijing,36.0,25.0,11.0,34.0,16.0,2.0,2.0,27.0,10.0,36.0,80.0,57.0,76.0,0.37,0.25
20200305,0,Nanjing,41.0,18.0,43.0,41.0,67.0,5.0,5.0,26.0,33.0,70.0,116.0,84.0,107.0,0.48,0.62
20200305,0,Nanning,12.0,7.0,5.0,12.0,8.0,9.0,7.0,14.0,13.0,32.0,44.0,32.0,37.0,0.76,0.81
20200305,0,Nanchang,78.0,57.0,56.0,77.0,74.0,5.0,8.0,34.0,27.0,50.0,79.0,67.0,71.0,0.67,0.76
20200305,0,Hefei,59.0,42.0,59.0,39.0,69.0,6.0,6.0,36.0,32.0,65.0,115.0,86.0,105.0,0.44,0.63
20200305,0,Hohhot,53.0,31.0,15.0,56.0,24.0,18.0,16.0,55.0,21.0,20.0,91.0,51.0,84.0,0.93,0.72
20200305,0,Harbin,65.0,47.0,44.0,48.0,52.0,14.0,16.0,29.0,24.0,65.0,111.0,77.0,99.0,0.69,0.55
20200305,0,Tianjin,26.0,18.0,10.0,23.0,16.0,10.0,4.0,49.0,18.0,31.0,84.0,52.0,80.0,0.49,0.31
20200305,0,Taiyuan,57.0,36.0,29.0,63.0,53.0,18.0,15.0,54.0,37.0,20.0,90.0,48.0,79.0,0.64,0.61
20200305,0,Guangzhou,16.0,7.0,7.0,10.0,10.0,5.0,5.0,32.0,28.0,10.0,71.0,14.0,46.0,0.84,0.78
20200305,0,Chengdu,45.0,27.0,24.0,45.0,41.0,6.0,6.0,25.0,30.0,61.0,94.0,69.0,83.0,0.56,0.49
20200305,0,Lhasa,28.0,11.0,7.0,28.0,13.0,7.0,6.0,6.0,7.0,80.0,95.0,85.0,92.0,0.48,0.55
20200305,0,Kunming,64.0,46.0,33.0,41.0,38.0,8.0,8.0,32.0,31.0,28.0,99.0,56.0,81.0,0.68,0.67
20200305,0,Hangzhou,40.0,22.0,38.0,40.0,61.0,6.0,6.0,30.0,47.0,53.0,77.0,41.0,61.0,0.66,0.78
20200305,0,Wuhan,59.0,42.0,33.0,49.0,40.0,7.0,8.0,33.0,22.0,57.0,114.0,81.0,100.0,0.97,1.0
20200305,0,Shenyang,49.0,34.0,34.0,43.0,47.0,10.0,12.0,49.0,22.0,33.0,91.0,62.0,86.0,0.67,0.53
20200305,0,Jinan,51.0,27.0,20.0,51.0,40.0,11.0,10.0,53.0,31.0,24.0,97.0,56.0,84.0,0.66,0.57
20200305,0,Haikou,26.0,4.0,10.0,11.0,21.0,3.0,3.0,3.0,7.0,84.0,88.0,67.0,77.0,0.45,0.55
20200305,0,Shijiazhuang,46.0,27.0,20.0,46.0,35.0,13.0,7.0,35.0,20.0,44.0,80.0,62.0,74.0,0.44,0.34
20200305,0,Fuzhou,27.0,19.0,19.0,14.0,17.0,3.0,3.0,10.0,16.0,87.0,91.0,81.0,81.0,0.68,0.86
20200305,0,Xining,70.0,47.0,36.0,89.0,67.0,19.0,17.0,46.0,33.0,37.0,111.0,62.0,99.0,1.13,1.27
