date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20200223,0,Shanghai,68.0,48.0,69.0,85.0,96.0,5.0,9.0,29.0,33.0,87.0,128.0,100.0,115.0,0.53,0.72
20200223,0,Urumqi,80.0,59.0,57.0,53.0,52.0,7.0,8.0,51.0,32.0,42.0,89.0,71.0,83.0,1.33,1.05
20200223,0,Lanzhou,94.0,61.0,50.0,138.0,130.0,17.0,23.0,92.0,66.0,15.0,133.0,43.0,107.0,1.35,1.35
20200223,0,Beijing,24.0,17.0,8.0,21.0,16.0,3.0,3.0,21.0,11.0,50.0,83.0,64.0,79.0,0.34,0.24
20200223,0,Nanjing,70.0,43.0,48.0,90.0,96.0,7.0,8.0,49.0,33.0,44.0,114.0,72.0,103.0,0.63,0.68
20200223,0,Nanning,103.0,77.0,63.0,96.0,79.0,8.0,7.0,49.0,23.0,36.0,144.0,80.0,121.0,0.97,0.84
20200223,0,Nanchang,67.0,42.0,39.0,84.0,57.0,13.0,6.0,25.0,20.0,75.0,105.0,76.0,95.0,0.71,0.54
20200223,0,Hefei,79.0,55.0,44.0,108.0,104.0,8.0,7.0,53.0,34.0,45.0,112.0,74.0,102.0,0.51,0.51
20200223,0,Hohhot,51.0,28.0,20.0,51.0,34.0,22.0,22.0,57.0,27.0,14.0,86.0,45.0,77.0,1.17,0.88
20200223,0,Harbin,41.0,29.0,29.0,32.0,43.0,20.0,21.0,23.0,25.0,67.0,93.0,74.0,84.0,0.64,0.53
20200223,0,Tianjin,30.0,13.0,9.0,25.0,19.0,11.0,5.0,59.0,20.0,30.0,86.0,56.0,82.0,0.46,0.36
20200223,0,Taiyuan,68.0,49.0,27.0,81.0,62.0,28.0,19.0,74.0,34.0,4.0,98.0,38.0,82.0,0.84,0.61
20200223,0,Guangzhou,76.0,56.0,44.0,77.0,61.0,6.0,6.0,69.0,45.0,41.0,163.0,84.0,140.0,0.99,0.89
20200223,0,Chengdu,110.0,83.0,61.0,114.0,88.0,9.0,6.0,47.0,31.0,15.0,60.0,36.0,50.0,0.73,0.69
20200223,0,Lhasa,30.0,14.0,13.0,30.0,29.0,6.0,6.0,6.0,8.0,89.0,97.0,92.0,94.0,0.57,0.57
20200223,0,Kunming,59.0,42.0,45.0,49.0,50.0,7.0,7.0,14.0,11.0,81.0,120.0,97.0,113.0,0.7,0.73
20200223,0,Hangzhou,102.0,67.0,33.0,153.0,69.0,6.0,6.0,22.0,21.0,84.0,123.0,89.0,115.0,0.67,0.54
20200223,0,Wuhan,61.0,31.0,43.0,72.0,57.0,10.0,9.0,18.0,20.0,81.0,121.0,93.0,104.0,0.78,1.01
20200223,0,Shenyang,53.0,33.0,15.0,55.0,32.0,15.0,11.0,41.0,21.0,32.0,82.0,45.0,78.0,0.53,0.36
20200223,0,Jinan,62.0,33.0,23.0,74.0,68.0,15.0,10.0,49.0,23.0,24.0,94.0,50.0,88.0,0.66,0.53
20200223,0,Haikou,34.0,23.0,15.0,28.0,30.0,4.0,4.0,5.0,5.0,108.0,118.0,108.0,108.0,0.55,0.45
20200223,0,Shijiazhuang,69.0,41.0,18.0,87.0,45.0,20.0,9.0,32.0,19.0,44.0,84.0,65.0,78.0,0.63,0.41
20200223,0,Fuzhou,53.0,28.0,30.0,56.0,42.0,4.0,4.0,8.0,15.0,108.0,121.0,110.0,113.0,0.56,0.58
20200223,0,Xining,70.0,51.0,47.0,76.0,96.0,16.0,19.0,47.0,36.0,33.0,98.0,50.0,86.0,1.33,1.27
20200223,0,Xi'an,101.0,76.0,46.0,135.0,124.0,14.0,12.0,60.0,33.0,19.0,99.0,59.0,86.0,0.97,0.78
20200223,0,Guiyang,71.0,52.0,53.0,69.0,67.0,16.0,16.0,14.0,15.0,30.0,52.0,25.0,43.0,0.74,0.73
20200223,0,Zhengzhou,74.0,37.0,30.0,97.0,105.0,10.0,10.0,19.0,24.0,83.0,111.0,95.0,101.0,0.63,0.46
20200223,0,Chongqing,90.0,67.0,67.0,83.0,82.0,7.0,7.0,37.0,28.0,16.0,48.0,26.0,41.0,0.96,0.84
20200223,0,Yinchuan,66.0,40.0,23.0,82.0,52.0,19.0,18.0,51.0,26.0,36.0,93.0,61.0,86.0,1.04,0.72
20200223,0,Changchun,44.0,31.0,31.0,37.0,46.0,9.0,9.0,34.0,18.0,37.0,71.0,49.0,65.0,0.54,0.49
20200223,0,Changsha,71.0,52.0,51.0,46.0,42.0,4.0,4.0,36.0,23.0,31.0,76.0,46.0,66.0,0.8,0.76
20200223,1,Shanghai,65.0,39.0,68.0,79.0,97.0,5.0,9.0,28.0,32.0,83.0,128.0,83.0,83.0,0.53,0.71
