date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20191225,0,Shanghai,36.0,25.0,34.0,33.0,36.0,7.0,6.0,52.0,43.0,40.0,73.0,38.0,64.0,0.52,0.67
20191225,0,Urumqi,40.0,28.0,55.0,16.0,47.0,7.0,10.0,49.0,41.0,19.0,39.0,20.0,30.0,1.03,1.23
20191225,0,Lanzhou,70.0,48.0,56.0,89.0,125.0,28.0,32.0,58.0,66.0,8.0,55.0,21.0,39.0,1.73,1.82
20191225,0,Beijing,126.0,96.0,82.0,99.0,76.0,3.0,4.0,62.0,55.0,2.0,25.0,8.0,18.0,1.51,1.31
20191225,0,Nanjing,64.0,46.0,36.0,65.0,46.0,6.0,5.0,60.0,47.0,7.0,59.0,6.0,51.0,0.9,0.84
20191225,0,Nanning,68.0,49.0,38.0,72.0,71.0,7.0,10.0,33.0,31.0,5.0,15.0,6.0,11.0,1.17,1.13
20191225,0,Nanchang,70.0,51.0,41.0,70.0,57.0,4.0,4.0,46.0,43.0,3.0,25.0,9.0,20.0,1.23,1.14
20191225,0,Hefei,49.0,34.0,34.0,36.0,25.0,4.0,4.0,46.0,39.0,3.0,47.0,5.0,41.0,0.73,0.71
20191225,0,Hohhot,197.0,148.0,93.0,157.0,108.0,29.0,30.0,76.0,66.0,7.0,46.0,16.0,29.0,3.23,2.35
20191225,0,Harbin,143.0,109.0,184.0,121.0,205.0,33.0,48.0,62.0,74.0,18.0,39.0,16.0,30.0,1.12,1.55
20191225,0,Tianjin,89.0,66.0,46.0,80.0,46.0,11.0,11.0,62.0,52.0,6.0,55.0,18.0,41.0,1.16,0.93
20191225,0,Taiyuan,243.0,193.0,140.0,253.0,188.0,54.0,37.0,71.0,68.0,4.0,10.0,5.0,8.0,2.29,1.9
20191225,0,Guangzhou,54.0,27.0,31.0,58.0,68.0,6.0,8.0,47.0,69.0,3.0,40.0,6.0,26.0,1.23,1.06
20191225,0,Chengdu,140.0,107.0,87.0,144.0,120.0,9.0,9.0,53.0,53.0,2.0,13.0,5.0,7.0,1.04,1.14
20191225,0,Lhasa,39.0,21.0,15.0,39.0,36.0,8.0,7.0,33.0,30.0,50.0,79.0,59.0,67.0,0.77,0.65
20191225,0,Kunming,57.0,30.0,28.0,64.0,62.0,16.0,15.0,50.0,39.0,20.0,76.0,47.0,67.0,0.85,0.9
20191225,0,Hangzhou,41.0,29.0,16.0,40.0,24.0,6.0,5.0,47.0,45.0,15.0,50.0,23.0,39.0,0.72,0.67
20191225,0,Wuhan,95.0,71.0,76.0,86.0,93.0,7.0,9.0,47.0,47.0,5.0,19.0,7.0,13.0,1.32,1.47
20191225,0,Shenyang,47.0,21.0,119.0,47.0,157.0,28.0,37.0,39.0,67.0,40.0,49.0,17.0,24.0,0.78,1.76
20191225,0,Jinan,144.0,110.0,97.0,165.0,141.0,31.0,22.0,68.0,59.0,10.0,51.0,20.0,32.0,1.55,1.44
20191225,0,Haikou,30.0,11.0,7.0,30.0,23.0,4.0,4.0,22.0,16.0,43.0,79.0,49.0,68.0,0.65,0.55
20191225,0,Shijiazhuang,201.0,151.0,160.0,214.0,239.0,12.0,11.0,69.0,77.0,4.0,6.0,4.0,5.0,1.97,2.49
20191225,0,Fuzhou,24.0,17.0,26.0,21.0,42.0,4.0,6.0,36.0,38.0,28.0,44.0,33.0,34.0,0.58,0.78
20191225,0,Xining,52.0,31.0,42.0,54.0,67.0,18.0,22.0,43.0,52.0,48.0,87.0,41.0,58.0,0.67,1.97
20191225,0,Xi'an,251.0,201.0,177.0,213.0,193.0,13.0,13.0,63.0,58.0,5.0,17.0,7.0,13.0,1.88,1.81
20191225,0,Guiyang,29.0,20.0,33.0,25.0,52.0,11.0,15.0,25.0,26.0,9.0,55.0,10.0,47.0,0.77,0.77
20191225,0,Zhengzhou,246.0,196.0,200.0,203.0,194.0,8.0,10.0,64.0,63.0,5.0,19.0,6.0,13.0,1.96,2.06
20191225,0,Chongqing,65.0,47.0,50.0,69.0,77.0,8.0,9.0,42.0,43.0,7.0,13.0,7.0,10.0,0.89,1.0
20191225,0,Yinchuan,121.0,92.0,79.0,154.0,128.0,32.0,29.0,71.0,66.0,14.0,67.0,22.0,45.0,1.52,1.94
20191225,0,Changchun,106.0,80.0,145.0,78.0,150.0,19.0,26.0,51.0,63.0,31.0,58.0,27.0,44.0,1.04,1.48
20191225,0,Changsha,123.0,93.0,93.0,60.0,68.0,4.0,4.0,36.0,31.0,3.0,26.0,4.0,19.0,1.17,1.04
20191225,1,Shanghai,31.0,22.0,32.0,31.0,36.0,7.0,6.0,50.0,43.0,42.0,73.0,42.0,42.0,0.54,0.67
20191225,1,Urumqi,30.0,21.0,53.0,22.0,46.0,7.0,10.0,49.0,42.0,20.0,39.0,20.0,20.0,1.0,1.23
20191225,1,Lanzhou,72.0,44.0,54.0,93.0,123.0,25.0,31.0,53.0,65.0,8.0,55.0,8.0,8.0,1.55,1.75
20191225,1,Beijing,125.0,95.0,82.0,95.0,75.0,3.0,4.0,62.0,54.0,2.0,25.0,2.0,2.0,1.5,1.25
20191225,1,Nanjing,59.0,42.0,35.0,63.0,45.0,6.0,5.0,54.0,48.0,11.0,58.0,11.0,11.0,0.89,0.84
20191225,1,Nanning,66.0,48.0,39.0,69.0,71.0,7.0,10.0,32.0,31.0,4.0,15.0,4.0,4.0,1.21,1.13
20191225,1,Nanchang,66.0,48.0,41.0,67.0,58.0,3.0,4.0,44.0,43.0,3.0,25.0,3.0,3.0,1.17,1.14
20191225,1,Hefei,51.0,36.0,32.0,34.0,25.0,4.0,4.0,45.0,40.0,3.0,47.0,3.0,3.0,0.73,0.71
20191225,1,Hohhot,183.0,138.0,94.0,159.0,110.0,26.0,30.0,74.0,66.0,6.0,46.0,6.0,6.0,3.07,2.38
20191225,1,Harbin,120.0,91.0,178.0,108.0,200.0,32.0,48.0,58.0,74.0,19.0,39.0,19.0,19.0,1.15,1.54
20191225,1,Tianjin,95.0,71.0,47.0,82.0,47.0,10.0,11.0,62.0,52.0,5.0,55.0,5.0,5.0,1.21,0.95
20191225,1,Taiyuan,228.0,178.0,143.0,235.0,191.0,36.0,37.0,67.0,67.0,4.0,10.0,4.0,4.0,2.2,1.91
20191225,1,Guangzhou,53.0,26.0,31.0,55.0,68.0,6.0,7.0,45.0,68.0,3.0,40.0,3.0,3.0,1.13,1.07
20191225,1,Chengdu,144.0,110.0,89.0,143.0,122.0,9.0,9.0,48.0,53.0,2.0,13.0,2.0,2.0,1.03,1.13
20191225,1,Lhasa,22.0,12.0,14.0,22.0,35.0,9.0,7.0,30.0,29.0,49.0,79.0,49.0,49.0,0.7,0.65
20191225,1,Kunming,65.0,35.0,28.0,79.0,62.0,16.0,15.0,52.0,38.0,18.0,76.0,18.0,18.0,0.83,0.9
