city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg
Beijing,20200112,6.875,34.25,0.4870833333333333,26.708333333333332,18.708333333333332,48.0,28.125
Changchun,20200112,22.083333333333332,62.25,1.3825,132.20833333333334,132.91666666666666,45.0,175.25
Changsha,20200112,4.708333333333333,46.458333333333336,1.12625,49.25,51.291666666666664,43.0,70.45833333333333
Chengdu,20200112,9.208333333333334,59.916666666666664,1.4141666666666666,96.45833333333333,71.625,81.0,95.875
Chongqing,20200112,9.25,44.833333333333336,1.1516666666666666,63.333333333333336,42.875,45.0,60.166666666666664
Fuzhou,20200112,4.041666666666667,22.708333333333332,0.9225,14.625,8.583333333333334,51.0,16.416666666666668
Guangzhou,20200112,5.333333333333333,33.583333333333336,1.0016666666666667,28.625,12.875,67.0,28.625
Guiyang,20200112,20.5,27.5,0.9383333333333334,61.75,40.375,67.0,57.416666666666664
Haikou,20200112,4.625,15.208333333333334,0.9770833333333333,41.0,22.833333333333332,85.0,41.208333333333336
Hangzhou,20200112,6.375,30.625,0.9854166666666666,70.20833333333333,49.666666666666664,64.0,68.20833333333333
Harbin,20200112,43.333333333333336,74.16666666666667,1.3299999999999998,216.58333333333334,213.70833333333334,54.0,263.7083333333333
Hefei,20200112,5.791666666666667,54.25,0.9916666666666667,72.375,77.375,52.0,103.125
Hohhot,20200112,22.041666666666668,82.20833333333333,3.046666666666667,266.1666666666667,235.95833333333334,27.0,285.9583333333333
Jinan,20200112,23.083333333333332,60.125,1.7416666666666665,130.125,93.79166666666667,29.0,124.08333333333333
Kunming,20200112,12.041666666666666,43.583333333333336,0.9054166666666666,65.875,34.166666666666664,70.0,57.166666666666664
Lanzhou,20200112,23.416666666666668,68.20833333333333,1.5158333333333334,73.16666666666667,48.416666666666664,49.0,67.5
Lhasa,20200112,6.625,26.958333333333332,0.9358333333333334,40.166666666666664,18.583333333333332,72.0,38.125
Nanchang,20200112,4.208333333333333,29.875,0.61875,40.75,30.25,49.0,44.25
Nanjing,20200112,5.0,44.083333333333336,1.23625,129.75,102.875,76.0,136.29166666666666
Nanning,20200112,9.708333333333334,23.666666666666668,0.8291666666666666,30.0,14.333333333333334,66.0,30.0
Shanghai,20200112,11.25,55.5,1.3816666666666666,79.91666666666667,108.20833333333333,59.0,142.83333333333334
Shenyang,20200112,23.291666666666668,55.583333333333336,0.9841666666666667,96.33333333333333,73.08333333333333,41.0,98.83333333333333
Shijiazhuang,20200112,15.0,76.375,1.83,191.41666666666666,138.41666666666666,38.0,180.875
Taiyuan,20200112,47.375,85.625,2.2816666666666667,294.2083333333333,250.41666666666666,34.0,300.2916666666667
Tianjin,20200112,10.0,66.33333333333333,0.7804166666666666,48.791666666666664,33.958333333333336,37.0,49.833333333333336
Urumqi,20200112,9.125,67.33333333333333,2.2504166666666667,222.125,213.75,40.0,263.625
Wuhan,20200112,6.458333333333333,60.208333333333336,1.2429166666666667,78.29166666666667,60.583333333333336,27.0,82.125
Xi'an,20200112,13.333333333333334,60.458333333333336,1.3187499999999999,128.75,115.66666666666667,40.0,152.29166666666666
Xining,20200112,18.791666666666668,53.958333333333336,1.9179166666666667,56.416666666666664,46.041666666666664,73.0,64.625
Yinchuan,20200112,8.166666666666666,56.541666666666664,2.095,222.04166666666666,167.5,36.0,216.45833333333334
Zhengzhou,20200112,7.833333333333333,62.25,1.4025,135.33333333333334,130.875,39.0,172.20833333333334
