city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg
Beijing,20191215,9.541666666666666,68.25,1.23375,74.125,48.291666666666664,8.0,68.0
Changchun,20191215,16.375,33.25,0.7041666666666666,44.291666666666664,29.958333333333332,38.0,44.833333333333336
Changsha,20191215,10.208333333333334,50.708333333333336,1.4483333333333333,155.79166666666666,197.91666666666666,53.0,247.91666666666666
Chengdu,20191215,9.5,58.916666666666664,1.0670833333333334,154.125,119.25,35.0,156.66666666666666
Chongqing,20191215,8.333333333333334,44.666666666666664,1.19625,100.75,76.45833333333333,9.0,101.875
Fuzhou,20191215,6.25,34.708333333333336,0.6875,63.541666666666664,31.125,108.0,57.25
Guangzhou,20191215,10.041666666666666,89.83333333333333,0.9408333333333333,108.875,52.541666666666664,107.0,79.66666666666667
Guiyang,20191215,12.5,18.458333333333332,0.4970833333333333,60.791666666666664,32.125,82.0,55.291666666666664
Haikou,20191215,4.416666666666667,13.5,0.6241666666666666,39.375,18.25,109.0,39.375
Hangzhou,20191215,6.958333333333333,58.541666666666664,0.71,106.54166666666667,55.5,73.0,82.0
Harbin,20191215,24.333333333333332,38.875,0.9045833333333334,61.708333333333336,45.666666666666664,42.0,63.541666666666664
Hefei,20191215,8.958333333333334,68.33333333333333,0.9933333333333333,78.25,57.708333333333336,38.0,79.20833333333333
Hohhot,20191215,23.708333333333332,57.541666666666664,1.71,104.625,84.54166666666667,20.0,112.04166666666667
Jinan,20191215,21.791666666666668,58.041666666666664,1.1695833333333334,105.875,56.916666666666664,18.0,85.20833333333333
Kunming,20191215,12.625,42.041666666666664,0.8566666666666666,59.5,30.625,74.0,53.0
Lanzhou,20191215,54.125,68.75,1.7816666666666665,129.25,75.625,34.0,101.45833333333333
Lhasa,20191215,5.375,15.125,0.6475,42.041666666666664,12.041666666666666,71.0,38.75
Nanchang,20191215,16.583333333333332,81.95833333333333,1.3508333333333333,172.29166666666666,109.29166666666667,91.0,143.66666666666666
Nanjing,20191215,7.791666666666667,43.625,0.6979166666666666,62.416666666666664,30.625,76.0,56.375
Nanning,20191215,9.166666666666666,31.291666666666668,0.665,59.666666666666664,32.125,90.0,55.083333333333336
Shanghai,20191215,6.625,42.75,0.49666666666666665,30.916666666666668,17.041666666666668,61.0,31.291666666666668
Shenyang,20191215,41.875,46.791666666666664,1.4066666666666665,79.0,43.375,32.0,68.125
Shijiazhuang,20191215,15.666666666666666,65.08333333333333,1.2704166666666665,99.83333333333333,62.583333333333336,20.0,85.04166666666667
Taiyuan,20191215,19.125,49.791666666666664,1.1058333333333332,98.5,74.25,20.0,99.125
Tianjin,20191215,17.0,65.08333333333333,0.98375,63.833333333333336,41.375,13.0,59.166666666666664
Urumqi,20191215,7.708333333333333,51.208333333333336,1.4016666666666666,55.375,61.416666666666664,37.0,83.25
Wuhan,20191215,16.166666666666668,64.45833333333333,1.4654166666666668,147.54166666666666,101.54166666666667,35.0,133.375
Xi'an,20191215,13.25,46.75,0.7329166666666667,81.625,65.0,22.0,87.66666666666667
Xining,20191215,29.708333333333332,68.66666666666667,2.764583333333333,99.25,83.125,35.0,110.29166666666667
Yinchuan,20191215,11.25,44.0,1.5374999999999999,100.04166666666667,67.79166666666667,21.0,91.29166666666667
Zhengzhou,20191215,10.5,50.333333333333336,1.1266666666666667,56.875,56.041666666666664,15.0,76.375
