city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg
Beijing,20191201,4.0,17.166666666666668,0.3558333333333333,29.875,11.708333333333334,58.0,29.416666666666668
Changchun,20191201,14.25,33.458333333333336,0.6083333333333333,32.833333333333336,23.875,53.0,37.04166666666666
Changsha,20191201,5.125,27.5,0.8666666666666667,41.04166666666666,60.75,42.0,82.08333333333333
Chengdu,20191201,6.5,43.66666666666666,0.8179166666666666,59.41666666666666,35.916666666666664,41.0,54.583333333333336
Chongqing,20191201,7.041666666666667,34.333333333333336,0.8208333333333333,46.375,32.708333333333336,33.0,46.958333333333336
Fuzhou,20191201,5.0,21.875,0.5933333333333334,41.75,23.916666666666668,72.0,41.79166666666666
Guangzhou,20191201,13.458333333333334,56.833333333333336,0.9708333333333332,80.75,39.29166666666666,94.0,65.54166666666667
Guiyang,20191201,14.083333333333334,17.916666666666668,0.7408333333333333,27.916666666666668,18.125,35.0,28.166666666666668
Haikou,20191201,4.875,10.5,0.6325,39.79166666666666,24.666666666666668,149.0,43.0
Hangzhou,20191201,4.208333333333333,39.5,0.84875,34.041666666666664,23.916666666666668,27.0,35.166666666666664
Harbin,20191201,22.291666666666668,32.25,0.7104166666666667,48.91666666666666,39.875,44.0,57.333333333333336
Hefei,20191201,4.541666666666667,40.125,0.7937500000000001,59.16666666666666,68.58333333333333,28.0,92.04166666666669
Hohhot,20191201,14.0,33.291666666666664,1.1291666666666669,58.125,37.375,62.0,57.708333333333336
Jinan,20191201,16.0,51.16666666666666,0.82125,82.91666666666667,56.875,49.0,80.5
Kunming,20191201,11.125,30.83333333333333,0.8708333333333332,56.16666666666666,35.0,67.0,60.04166666666666
Lanzhou,20191201,11.333333333333334,47.583333333333336,0.8554166666666667,62.625,40.91666666666666,51.0,58.333333333333336
Lhasa,20191201,6.041666666666667,33.25,0.78625,41.41666666666666,16.916666666666668,79.0,39.04166666666666
Nanchang,20191201,3.7083333333333335,28.45833333333333,0.6970833333333334,51.125,44.333333333333336,40.0,61.083333333333336
Nanjing,20191201,6.75,40.0,0.9883333333333332,39.125,35.708333333333336,27.0,50.16666666666666
Nanning,20191201,12.375,29.666666666666668,1.0641666666666667,56.208333333333336,32.916666666666664,56.0,53.25
Shanghai,20191201,5.416666666666667,43.083333333333336,0.8433333333333334,21.125,26.33333333333333,51.0,39.125
Shenyang,20191201,19.95833333333333,42.333333333333336,0.6058333333333333,44.083333333333336,25.45833333333333,42.0,43.958333333333336
Shijiazhuang,20191201,10.625,57.083333333333336,1.2566666666666666,144.95833333333334,102.75,40.0,136.83333333333334
