date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190203,0,Shanghai,54.0,30.0,51.0,57.0,64.0,7.0,7.0,24.0,30.0,62.0,99.0,73.0,88.0,0.6,0.72
20190203,0,Urumqi,103.0,77.0,57.0,82.0,74.0,6.0,6.0,53.0,49.0,28.0,50.0,32.0,39.0,1.57,1.43
20190203,0,Lanzhou,62.0,28.0,32.0,73.0,107.0,32.0,28.0,25.0,38.0,60.0,75.0,64.0,69.0,0.37,0.57
20190203,0,Beijing,194.0,146.0,108.0,155.0,137.0,2.0,8.0,53.0,55.0,9.0,36.0,14.0,29.0,1.53,1.43
20190203,0,Nanjing,105.0,79.0,78.0,99.0,94.0,10.0,7.0,66.0,44.0,5.0,58.0,9.0,40.0,1.32,1.01
20190203,0,Nanning,40.0,28.0,49.0,37.0,66.0,8.0,9.0,16.0,23.0,54.0,72.0,63.0,65.0,0.84,1.09
20190203,0,Nanchang,63.0,41.0,33.0,75.0,57.0,4.0,7.0,50.0,30.0,15.0,83.0,30.0,65.0,1.13,0.9
20190203,0,Hefei,60.0,43.0,47.0,45.0,48.0,3.0,4.0,21.0,29.0,50.0,61.0,34.0,55.0,0.98,0.96
20190203,0,Hohhot,103.0,28.0,81.0,155.0,154.0,12.0,31.0,14.0,48.0,65.0,66.0,43.0,43.0,0.72,1.93
20190203,0,Harbin,208.0,158.0,111.0,208.0,157.0,33.0,42.0,47.0,52.0,31.0,51.0,29.0,40.0,1.46,1.41
20190203,0,Tianjin,251.0,201.0,114.0,234.0,140.0,12.0,14.0,53.0,41.0,11.0,60.0,17.0,52.0,2.64,1.77
20190203,0,Taiyuan,99.0,53.0,86.0,147.0,137.0,20.0,51.0,22.0,59.0,62.0,72.0,43.0,45.0,0.71,1.54
20190203,0,Guangzhou,49.0,30.0,32.0,49.0,48.0,4.0,5.0,43.0,41.0,41.0,120.0,62.0,98.0,0.87,1.0
20190203,0,Chengdu,99.0,74.0,79.0,92.0,98.0,5.0,6.0,41.0,36.0,4.0,44.0,20.0,34.0,1.4,1.04
20190203,0,Lhasa,53.0,27.0,9.0,56.0,28.0,5.0,4.0,48.0,16.0,35.0,97.0,65.0,94.0,1.22,0.6
20190203,0,Kunming,35.0,22.0,17.0,35.0,28.0,19.0,15.0,33.0,23.0,45.0,93.0,66.0,86.0,0.7,0.7
20190203,0,Hangzhou,51.0,33.0,51.0,51.0,67.0,8.0,7.0,46.0,34.0,11.0,78.0,20.0,60.0,1.22,1.05
20190203,0,Wuhan,78.0,57.0,55.0,68.0,66.0,7.0,10.0,37.0,42.0,20.0,47.0,18.0,41.0,1.11,1.23
20190203,0,Shenyang,85.0,63.0,74.0,103.0,139.0,19.0,23.0,28.0,29.0,67.0,90.0,68.0,80.0,0.85,1.07
20190203,0,Jinan,166.0,126.0,76.0,162.0,108.0,19.0,15.0,44.0,27.0,21.0,91.0,39.0,84.0,1.47,1.13
20190203,0,Haikou,24.0,13.0,16.0,24.0,40.0,5.0,6.0,11.0,9.0,48.0,79.0,56.0,70.0,0.55,0.65
20190203,0,Shijiazhuang,226.0,176.0,146.0,230.0,213.0,10.0,24.0,43.0,45.0,13.0,68.0,24.0,48.0,1.78,1.54
20190203,0,Fuzhou,64.0,46.0,32.0,78.0,47.0,4.0,4.0,46.0,23.0,21.0,80.0,29.0,68.0,0.98,0.76
20190203,0,Xining,73.0,24.0,37.0,95.0,97.0,14.0,19.0,13.0,35.0,46.0,55.0,46.0,48.0,0.73,1.07
20190203,0,Xi'an,146.0,50.0,81.0,242.0,172.0,11.0,10.0,26.0,35.0,40.0,87.0,54.0,75.0,0.57,0.98
20190203,0,Guiyang,43.0,30.0,22.0,43.0,36.0,13.0,11.0,13.0,13.0,70.0,80.0,67.0,75.0,0.56,0.57
20190203,0,Zhengzhou,176.0,133.0,106.0,159.0,124.0,8.0,10.0,53.0,33.0,24.0,94.0,44.0,72.0,1.52,1.29
20190203,0,Chongqing,75.0,55.0,41.0,77.0,54.0,6.0,6.0,39.0,31.0,13.0,45.0,22.0,38.0,1.17,1.01
