date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190625,0,Shanghai,25.0,11.0,22.0,17.0,27.0,5.0,5.0,18.0,19.0,81.0,138.0,100.0,127.0,0.4,0.44
20190625,0,Urumqi,41.0,13.0,9.0,41.0,21.0,6.0,6.0,48.0,20.0,53.0,120.0,99.0,113.0,0.58,0.45
20190625,0,Lanzhou,29.0,16.0,16.0,29.0,38.0,12.0,12.0,36.0,31.0,69.0,178.0,99.0,152.0,0.42,0.68
20190625,0,Beijing,75.0,42.0,36.0,99.0,74.0,6.0,5.0,33.0,33.0,140.0,257.0,190.0,231.0,0.84,0.7
20190625,0,Nanjing,34.0,14.0,26.0,33.0,52.0,6.0,6.0,18.0,27.0,108.0,156.0,136.0,143.0,0.49,0.54
20190625,0,Nanning,27.0,19.0,14.0,27.0,28.0,7.0,8.0,21.0,20.0,48.0,88.0,67.0,75.0,0.87,0.83
20190625,0,Nanchang,35.0,20.0,26.0,35.0,51.0,8.0,6.0,22.0,19.0,73.0,143.0,101.0,128.0,0.6,0.57
20190625,0,Hefei,50.0,30.0,33.0,50.0,60.0,5.0,6.0,30.0,34.0,110.0,165.0,130.0,153.0,0.56,0.6
20190625,0,Hohhot,44.0,30.0,36.0,44.0,51.0,7.0,8.0,25.0,27.0,96.0,175.0,128.0,152.0,0.93,0.97
20190625,0,Harbin,33.0,11.0,16.0,27.0,39.0,9.0,11.0,32.0,35.0,104.0,148.0,119.0,137.0,0.52,0.51
20190625,0,Tianjin,60.0,28.0,34.0,70.0,70.0,11.0,16.0,20.0,30.0,162.0,291.0,216.0,265.0,0.84,0.86
20190625,0,Taiyuan,65.0,42.0,46.0,80.0,78.0,25.0,16.0,49.0,35.0,84.0,242.0,156.0,220.0,0.76,0.74
20190625,0,Guangzhou,27.0,12.0,14.0,18.0,23.0,5.0,5.0,53.0,44.0,8.0,36.0,15.0,26.0,0.77,0.77
20190625,0,Chengdu,25.0,15.0,16.0,25.0,25.0,5.0,5.0,29.0,22.0,32.0,85.0,52.0,75.0,0.73,0.64
20190625,0,Lhasa,29.0,14.0,11.0,26.0,24.0,6.0,7.0,10.0,9.0,94.0,109.0,100.0,100.0,0.33,0.35
20190625,0,Kunming,21.0,15.0,19.0,20.0,25.0,5.0,10.0,34.0,28.0,21.0,77.0,50.0,64.0,0.85,0.87
20190625,0,Hangzhou,34.0,16.0,23.0,34.0,42.0,5.0,5.0,31.0,23.0,57.0,161.0,97.0,141.0,0.49,0.5
20190625,0,Wuhan,58.0,35.0,32.0,65.0,56.0,6.0,9.0,73.0,37.0,52.0,225.0,128.0,200.0,0.84,0.89
20190625,0,Shenyang,46.0,16.0,30.0,46.0,69.0,21.0,25.0,26.0,45.0,100.0,222.0,161.0,196.0,0.51,0.99
20190625,0,Jinan,74.0,37.0,31.0,91.0,78.0,11.0,15.0,17.0,22.0,179.0,259.0,205.0,239.0,0.47,0.57
20190625,0,Haikou,30.0,7.0,13.0,30.0,28.0,4.0,5.0,16.0,12.0,46.0,94.0,58.0,80.0,0.42,0.5
20190625,0,Shijiazhuang,68.0,33.0,29.0,85.0,77.0,16.0,17.0,36.0,43.0,128.0,234.0,180.0,215.0,0.71,0.76
20190625,0,Fuzhou,13.0,7.0,10.0,12.0,19.0,3.0,3.0,25.0,18.0,34.0,87.0,42.0,74.0,0.7,0.62
20190625,0,Xining,19.0,11.0,12.0,12.0,17.0,7.0,8.0,37.0,23.0,49.0,126.0,75.0,111.0,0.7,0.67
20190625,0,Xi'an,56.0,38.0,32.0,61.0,55.0,4.0,4.0,53.0,33.0,41.0,142.0,72.0,123.0,0.67,0.65
20190625,0,Guiyang,47.0,28.0,22.0,47.0,42.0,6.0,6.0,25.0,16.0,37.0,113.0,70.0,95.0,0.68,0.59
