date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190316,0,Shanghai,57.0,25.0,47.0,63.0,74.0,7.0,9.0,42.0,55.0,73.0,129.0,85.0,106.0,0.62,0.74
20190316,0,Urumqi,129.0,98.0,85.0,143.0,110.0,6.0,6.0,54.0,38.0,26.0,48.0,32.0,43.0,2.38,1.65
20190316,0,Lanzhou,98.0,64.0,41.0,145.0,97.0,16.0,25.0,114.0,79.0,11.0,158.0,67.0,130.0,1.37,1.23
20190316,0,Beijing,66.0,29.0,11.0,82.0,48.0,5.0,2.0,45.0,17.0,28.0,83.0,57.0,79.0,0.51,0.25
20190316,0,Nanjing,80.0,41.0,34.0,110.0,84.0,15.0,15.0,99.0,62.0,6.0,114.0,56.0,105.0,1.18,0.72
20190316,0,Nanning,49.0,32.0,30.0,49.0,51.0,9.0,9.0,38.0,33.0,38.0,55.0,38.0,47.0,0.77,0.81
20190316,0,Nanchang,119.0,57.0,34.0,187.0,97.0,13.0,9.0,98.0,50.0,16.0,151.0,74.0,132.0,1.23,0.81
20190316,0,Hefei,115.0,63.0,38.0,179.0,92.0,15.0,8.0,123.0,56.0,7.0,117.0,51.0,106.0,1.31,0.61
20190316,0,Hohhot,66.0,43.0,23.0,82.0,61.0,20.0,16.0,52.0,26.0,22.0,98.0,57.0,84.0,1.02,0.75
20190316,0,Harbin,85.0,63.0,55.0,101.0,81.0,27.0,23.0,75.0,53.0,12.0,86.0,36.0,79.0,1.43,1.08
20190316,0,Tianjin,41.0,19.0,12.0,41.0,48.0,14.0,8.0,33.0,23.0,53.0,90.0,56.0,85.0,0.56,0.42
20190316,0,Taiyuan,52.0,16.0,20.0,54.0,65.0,11.0,15.0,54.0,38.0,37.0,101.0,67.0,94.0,0.53,0.69
20190316,0,Guangzhou,58.0,39.0,34.0,66.0,48.0,7.0,5.0,80.0,42.0,9.0,94.0,34.0,77.0,0.88,0.66
20190316,0,Chengdu,59.0,42.0,41.0,68.0,74.0,4.0,11.0,56.0,56.0,22.0,70.0,41.0,55.0,0.7,0.73
20190316,0,Lhasa,42.0,16.0,13.0,42.0,43.0,3.0,4.0,9.0,11.0,93.0,107.0,97.0,103.0,0.42,0.43
20190316,0,Kunming,95.0,71.0,60.0,107.0,82.0,10.0,10.0,62.0,41.0,12.0,141.0,64.0,117.0,1.16,0.96
20190316,0,Hangzhou,82.0,53.0,33.0,114.0,63.0,14.0,9.0,87.0,45.0,17.0,126.0,64.0,103.0,1.04,0.73
20190316,0,Wuhan,89.0,44.0,47.0,127.0,98.0,11.0,11.0,112.0,77.0,13.0,119.0,54.0,102.0,1.02,0.86
