date,hour,城市,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190504,0,七台河,57.0,40.0,29.0,63.0,42.0,7.0,9.0,52.0,43.0,75.0,110.0,78.0,106.0,0.4,0.5
20190504,0,三亚,32.0,18.0,22.0,28.0,34.0,3.0,4.0,7.0,12.0,102.0,116.0,109.0,112.0,0.65,0.65
20190504,0,三明,43.0,10.0,32.0,43.0,56.0,8.0,5.0,32.0,17.0,72.0,126.0,90.0,119.0,1.03,0.73
20190504,0,三门峡,60.0,35.0,34.0,70.0,112.0,6.0,14.0,31.0,28.0,74.0,172.0,120.0,163.0,0.67,0.7
20190504,0,上海,66.0,37.0,30.0,82.0,73.0,7.0,7.0,94.0,64.0,48.0,142.0,91.0,132.0,0.81,0.66
20190504,0,上饶,59.0,28.0,33.0,67.0,78.0,13.0,14.0,28.0,20.0,86.0,175.0,126.0,162.0,0.4,0.5
20190504,0,东莞,67.0,38.0,26.0,83.0,43.0,9.0,10.0,39.0,27.0,69.0,121.0,84.0,103.0,0.82,0.74
20190504,0,东营,77.0,45.0,49.0,104.0,107.0,12.0,28.0,87.0,46.0,73.0,241.0,163.0,223.0,0.63,0.68
20190504,0,中卫,54.0,29.0,30.0,58.0,77.0,6.0,7.0,26.0,9.0,86.0,141.0,121.0,137.0,0.4,0.4
20190504,0,中山,51.0,25.0,23.0,51.0,40.0,4.0,4.0,24.0,27.0,62.0,128.0,91.0,107.0,0.63,0.73
20190504,0,临夏州,44.0,23.0,11.0,44.0,24.0,8.0,8.0,29.0,12.0,62.0,126.0,101.0,115.0,0.65,0.5
20190504,0,临安,70.0,42.0,25.0,89.0,57.0,6.0,8.0,54.0,30.0,56.0,182.0,116.0,157.0,0.7,0.6
20190504,0,临汾,69.0,46.0,29.0,88.0,74.0,40.0,15.0,30.0,32.0,105.0,206.0,132.0,173.0,2.54,1.04
20190504,0,临沂,78.0,47.0,46.0,106.0,109.0,31.0,24.0,41.0,44.0,115.0,179.0,128.0,169.0,0.55,0.8
20190504,0,临沧,54.0,38.0,51.0,49.0,74.0,8.0,10.0,18.0,16.0,37.0,123.0,63.0,97.0,0.8,0.95
20190504,0,丹东,88.0,65.0,58.0,109.0,99.0,16.0,17.0,32.0,28.0,86.0,179.0,115.0,164.0,1.2,1.0
20190504,0,丽水,38.0,18.0,19.0,38.0,57.0,7.0,7.0,25.0,18.0,82.0,150.0,117.0,133.0,0.33,0.3
20190504,0,丽江,29.0,13.0,11.0,26.0,32.0,7.0,7.0,7.0,7.0,93.0,115.0,101.0,113.0,0.5,0.5
20190504,0,义乌,42.0,10.0,20.0,42.0,61.0,11.0,9.0,28.0,32.0,104.0,171.0,118.0,145.0,0.45,0.45
20190504,0,乌兰察布,51.0,35.0,31.0,52.0,61.0,20.0,18.0,25.0,39.0,133.0,190.0,167.0,184.0,0.45,0.45
20190504,0,乌海,108.0,51.0,35.0,165.0,96.0,150.0,64.0,67.0,37.0,44.0,181.0,100.0,149.0,1.43,0.9
20190504,0,乌鲁木齐,45.0,9.0,41.0,45.0,228.0,5.0,7.0,21.0,24.0,71.0,119.0,95.0,109.0,0.58,0.53
20190504,0,乐山,41.0,29.0,34.0,32.0,37.0,4.0,5.0,16.0,17.0,72.0,81.0,57.0,61.0,0.6,0.6
20190504,0,九江,81.0,58.0,46.0,111.0,100.0,20.0,15.0,57.0,41.0,52.0,142.0,92.0,129.0,1.05,0.82
20190504,0,乳山,54.0,25.0,27.0,57.0,72.0,8.0,10.0,16.0,22.0,153.0,222.0,186.0,198.0,0.8,0.9
20190504,0,云浮,61.0,44.0,26.0,70.0,46.0,8.0,9.0,49.0,32.0,8.0,61.0,27.0,48.0,1.2,0.85
20190504,0,五家渠,82.0,14.0,40.0,114.0,197.0,5.0,9.0,8.0,13.0,87.0,106.0,96.0,103.0,0.6,0.7
20190504,0,亳州,55.0,29.0,28.0,60.0,64.0,7.0,12.0,18.0,24.0,120.0,187.0,142.0,179.0,0.6,0.6
20190504,0,伊春,35.0,23.0,13.0,35.0,22.0,6.0,6.0,16.0,15.0,55.0,110.0,79.0,103.0,0.4,0.3
20190504,0,伊犁哈萨克州,29.0,13.0,15.0,29.0,32.0,8.0,8.0,25.0,16.0,42.0,80.0,61.0,74.0,0.6,0.47
20190504,0,佛山,74.0,53.0,27.0,97.0,48.0,6.0,6.0,58.0,39.0,51.0,130.0,83.0,108.0,0.98,0.9
20190504,0,佳木斯,55.0,25.0,17.0,59.0,35.0,6.0,6.0,23.0,16.0,76.0,127.0,91.0,108.0,0.32,0.32
20190504,0,保定,65.0,33.0,40.0,80.0,97.0,19.0,23.0,46.0,40.0,85.0,224.0,129.0,183.0,0.4,0.62
20190504,0,保山,75.0,55.0,40.0,59.0,68.0,5.0,6.0,20.0,25.0,55.0,104.0,85.0,96.0,0.8,0.8
20190504,0,信阳,65.0,40.0,24.0,79.0,53.0,6.0,6.0,52.0,19.0,55.0,174.0,125.0,165.0,0.6,0.45
20190504,0,克州,64.0,1.0,10.0,77.0,46.0,6.0,7.0,1.0,2.0,,132.0,124.0,124.0,0.5,0.8
