date,hour,城市,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190416,0,七台河,51.0,31.0,39.0,52.0,62.0,7.0,8.0,15.0,27.0,89.0,116.0,96.0,106.0,0.6,0.7
20190416,0,三亚,19.0,11.0,9.0,19.0,16.0,4.0,3.0,10.0,8.0,30.0,48.0,29.0,35.0,0.55,0.5
20190416,0,三明,40.0,28.0,23.0,31.0,31.0,3.0,4.0,11.0,15.0,72.0,89.0,56.0,80.0,0.6,0.57
20190416,0,三门峡,29.0,20.0,23.0,28.0,80.0,5.0,11.0,31.0,38.0,47.0,134.0,93.0,120.0,0.57,0.63
20190416,0,上海,58.0,16.0,32.0,65.0,63.0,6.0,6.0,34.0,43.0,105.0,121.0,104.0,115.0,0.52,0.63
20190416,0,上饶,58.0,41.0,40.0,60.0,64.0,3.0,8.0,23.0,18.0,47.0,143.0,81.0,130.0,0.7,0.75
20190416,0,东莞,69.0,50.0,24.0,63.0,36.0,10.0,9.0,34.0,36.0,50.0,66.0,35.0,42.0,0.94,0.92
20190416,0,东营,82.0,55.0,48.0,114.0,119.0,26.0,28.0,72.0,58.0,52.0,166.0,101.0,141.0,0.85,0.92
20190416,0,中卫,107.0,56.0,62.0,164.0,232.0,6.0,10.0,24.0,23.0,72.0,112.0,94.0,109.0,0.35,0.4
20190416,0,中山,43.0,30.0,22.0,41.0,38.0,5.0,5.0,18.0,33.0,86.0,108.0,88.0,94.0,0.67,0.8
20190416,0,临夏州,73.0,53.0,34.0,93.0,53.0,16.0,13.0,36.0,26.0,31.0,127.0,90.0,111.0,0.95,0.8
20190416,0,临安,61.0,15.0,36.0,71.0,85.0,6.0,8.0,40.0,33.0,78.0,161.0,107.0,140.0,0.7,0.8
20190416,0,临汾,28.0,16.0,22.0,28.0,55.0,8.0,16.0,16.0,40.0,84.0,137.0,91.0,118.0,1.28,0.86
20190416,0,临沂,89.0,66.0,66.0,120.0,146.0,37.0,28.0,51.0,51.0,104.0,160.0,128.0,152.0,1.13,0.9
20190416,0,临沧,71.0,52.0,50.0,88.0,79.0,9.0,11.0,23.0,18.0,72.0,133.0,107.0,127.0,1.0,0.95
20190416,0,丹东,64.0,40.0,31.0,78.0,71.0,12.0,14.0,12.0,22.0,103.0,122.0,112.0,113.0,0.77,0.82
20190416,0,丽水,54.0,21.0,30.0,57.0,52.0,9.0,8.0,19.0,17.0,105.0,123.0,103.0,116.0,0.47,0.63
20190416,0,丽江,29.0,13.0,13.0,26.0,38.0,6.0,7.0,5.0,8.0,93.0,108.0,88.0,106.0,0.45,0.55
20190416,0,义乌,47.0,16.0,19.0,47.0,43.0,9.0,8.0,54.0,37.0,55.0,129.0,66.0,118.0,0.8,0.8
20190416,0,乌兰察布,51.0,22.0,22.0,52.0,42.0,15.0,17.0,35.0,30.0,85.0,140.0,115.0,133.0,0.45,0.4
20190416,0,乌海,123.0,41.0,33.0,195.0,134.0,72.0,55.0,82.0,37.0,13.0,124.0,74.0,117.0,0.97,0.83
20190416,0,乌鲁木齐,65.0,16.0,18.0,80.0,75.0,4.0,6.0,24.0,29.0,87.0,128.0,109.0,120.0,0.52,0.6
20190416,0,乐山,41.0,29.0,36.0,33.0,44.0,4.0,6.0,14.0,17.0,61.0,89.0,73.0,76.0,0.47,0.47
20190416,0,九江,73.0,53.0,62.0,64.0,80.0,6.0,10.0,37.0,36.0,54.0,129.0,77.0,115.0,0.4,0.65
20190416,0,乳山,49.0,25.0,24.0,49.0,69.0,7.0,9.0,13.0,21.0,125.0,172.0,138.0,153.0,0.65,0.8
20190416,0,云浮,20.0,8.0,10.0,18.0,22.0,11.0,9.0,40.0,27.0,4.0,38.0,10.0,28.0,0.95,1.0
20190416,0,五家渠,57.0,15.0,19.0,64.0,61.0,4.0,9.0,30.0,30.0,47.0,113.0,90.0,106.0,0.5,0.7
20190416,0,亳州,63.0,40.0,35.0,75.0,73.0,10.0,7.0,35.0,35.0,89.0,137.0,112.0,132.0,0.65,0.6
20190416,0,伊春,65.0,28.0,22.0,80.0,56.0,7.0,13.0,13.0,15.0,97.0,129.0,115.0,123.0,0.6,0.55
20190416,0,伊犁哈萨克州,109.0,63.0,26.0,167.0,68.0,20.0,10.0,76.0,31.0,13.0,114.0,78.0,106.0,1.9,0.87
20190416,0,佛山,40.0,26.0,16.0,40.0,29.0,6.0,6.0,55.0,45.0,5.0,25.0,7.0,18.0,1.3,1.13
20190416,0,佳木斯,42.0,21.0,24.0,42.0,53.0,11.0,7.0,15.0,16.0,82.0,110.0,93.0,106.0,0.38,0.4
