date,hour,城市,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190528,0,七台河,14.0,9.0,16.0,,17.0,12.0,6.0,27.0,27.0,40.0,55.0,42.0,42.0,0.6,0.5
20190528,0,三亚,27.0,14.0,12.0,27.0,26.0,3.0,3.0,15.0,7.0,47.0,85.0,62.0,77.0,0.45,0.4
20190528,0,三明,33.0,22.0,23.0,33.0,39.0,4.0,7.0,19.0,22.0,6.0,41.0,11.0,30.0,0.8,1.23
20190528,0,三门峡,37.0,14.0,20.0,37.0,91.0,6.0,9.0,14.0,10.0,66.0,135.0,84.0,118.0,0.47,0.53
20190528,0,上海,33.0,10.0,28.0,22.0,31.0,4.0,5.0,12.0,21.0,104.0,160.0,97.0,107.0,0.43,0.69
20190528,0,上饶,28.0,15.0,19.0,28.0,37.0,7.0,9.0,12.0,13.0,52.0,77.0,60.0,61.0,0.4,0.4
20190528,0,东莞,35.0,22.0,10.0,35.0,19.0,9.0,7.0,58.0,32.0,5.0,92.0,36.0,74.0,0.66,0.54
20190528,0,东营,55.0,20.0,9.0,59.0,36.0,19.0,6.0,58.0,15.0,43.0,129.0,89.0,117.0,0.25,0.23
20190528,0,中卫,45.0,14.0,35.0,45.0,37.0,8.0,10.0,30.0,16.0,67.0,98.0,87.0,93.0,0.6,0.55
20190528,0,中山,19.0,10.0,5.0,19.0,12.0,3.0,3.0,25.0,13.0,13.0,69.0,24.0,57.0,0.6,0.5
20190528,0,临夏州,84.0,62.0,19.0,85.0,33.0,13.0,7.0,25.0,10.0,25.0,118.0,74.0,110.0,0.75,0.4
20190528,0,临安,32.0,11.0,11.0,32.0,18.0,1.0,20.0,7.0,28.0,41.0,447.0,46.0,134.0,0.5,0.6
20190528,0,临汾,95.0,25.0,11.0,140.0,59.0,14.0,8.0,19.0,12.0,73.0,150.0,112.0,141.0,1.24,0.48
20190528,0,临沂,53.0,19.0,20.0,55.0,59.0,14.0,6.0,65.0,24.0,22.0,132.0,76.0,114.0,0.63,0.63
20190528,0,临沧,80.0,59.0,31.0,68.0,44.0,9.0,9.0,18.0,12.0,68.0,128.0,105.0,122.0,0.75,0.7
20190528,0,丹东,26.0,6.0,7.0,26.0,26.0,11.0,10.0,13.0,8.0,72.0,119.0,78.0,109.0,0.5,0.53
20190528,0,丽水,34.0,10.0,20.0,34.0,39.0,5.0,5.0,14.0,22.0,52.0,72.0,37.0,61.0,0.47,0.53
20190528,0,丽江,34.0,14.0,11.0,34.0,31.0,10.0,10.0,11.0,9.0,95.0,115.0,104.0,111.0,0.75,0.75
20190528,0,义乌,28.0,13.0,22.0,28.0,39.0,5.0,5.0,10.0,18.0,60.0,107.0,69.0,95.0,0.3,0.55
20190528,0,乌兰察布,26.0,7.0,7.0,14.0,9.0,9.0,12.0,16.0,8.0,82.0,115.0,97.0,112.0,0.25,0.25
20190528,0,乌海,54.0,16.0,11.0,57.0,31.0,14.0,9.0,43.0,17.0,50.0,117.0,85.0,107.0,0.57,0.43
20190528,0,乌鲁木齐,35.0,11.0,17.0,35.0,57.0,5.0,6.0,30.0,28.0,50.0,96.0,71.0,87.0,0.53,0.55
20190528,0,乐山,52.0,23.0,28.0,54.0,49.0,4.0,5.0,20.0,21.0,55.0,90.0,76.0,79.0,0.43,0.53
20190528,0,九江,64.0,46.0,24.0,62.0,58.0,9.0,10.0,11.0,19.0,98.0,140.0,123.0,131.0,0.48,0.52
20190528,0,乳山,32.0,9.0,7.0,32.0,36.0,10.0,5.0,21.0,12.0,75.0,97.0,81.0,91.0,0.6,0.45
20190528,0,云浮,36.0,16.0,12.0,36.0,28.0,10.0,8.0,19.0,16.0,29.0,71.0,45.0,64.0,0.45,0.5
20190528,0,五家渠,25.0,11.0,23.0,25.0,127.0,5.0,6.0,14.0,34.0,58.0,90.0,75.0,82.0,0.5,0.6
20190528,0,亳州,47.0,16.0,17.0,47.0,74.0,10.0,14.0,10.0,7.0,90.0,133.0,116.0,128.0,0.65,0.75
20190528,0,伊春,13.0,6.0,7.0,13.0,14.0,5.0,6.0,8.0,9.0,27.0,58.0,36.0,53.0,0.3,0.4
20190528,0,伊犁哈萨克州,23.0,9.0,11.0,22.0,26.0,8.0,7.0,19.0,14.0,72.0,100.0,89.0,93.0,0.5,0.5
20190528,0,佛山,39.0,17.0,10.0,39.0,23.0,7.0,6.0,54.0,31.0,10.0,112.0,39.0,82.0,0.8,0.68
20190528,0,佳木斯,21.0,2.0,4.0,5.0,5.0,3.0,3.0,4.0,7.0,66.0,74.0,61.0,69.0,0.28,0.3
20190528,0,保定,50.0,21.0,11.0,50.0,26.0,11.0,6.0,37.0,14.0,64.0,125.0,97.0,115.0,0.27,0.13
20190528,0,保山,40.0,25.0,18.0,40.0,34.0,5.0,5.0,9.0,12.0,108.0,121.0,110.0,113.0,0.45,0.45
20190528,0,信阳,64.0,22.0,25.0,78.0,105.0,6.0,6.0,8.0,8.0,108.0,141.0,121.0,133.0,0.3,0.4
20190528,0,克州,71.0,23.0,63.0,91.0,210.0,8.0,8.0,15.0,6.0,85.0,105.0,98.0,100.0,0.7,0.7
