date,hour,城市,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190529,0,七台河,17.0,4.0,12.0,,18.0,5.0,4.0,16.0,20.0,53.0,80.0,64.0,74.0,0.3,0.3
20190529,0,三亚,24.0,13.0,11.0,24.0,22.0,4.0,3.0,9.0,9.0,47.0,80.0,55.0,72.0,0.45,0.45
20190529,0,三明,22.0,4.0,17.0,5.0,32.0,1.0,4.0,6.0,13.0,69.0,76.0,63.0,64.0,0.53,0.8
20190529,0,三门峡,46.0,32.0,18.0,37.0,30.0,7.0,5.0,21.0,14.0,50.0,102.0,81.0,96.0,0.5,0.5
20190529,0,上海,52.0,25.0,12.0,54.0,31.0,6.0,5.0,97.0,29.0,23.0,120.0,79.0,114.0,0.73,0.46
20190529,0,上饶,39.0,19.0,17.0,39.0,33.0,43.0,7.0,18.0,10.0,65.0,97.0,80.0,90.0,0.3,0.3
20190529,0,东莞,29.0,7.0,23.0,,34.0,7.0,8.0,16.0,43.0,93.0,116.0,81.0,87.0,0.6,0.7
20190529,0,东营,53.0,14.0,17.0,55.0,57.0,17.0,29.0,16.0,22.0,125.0,170.0,137.0,157.0,0.28,0.28
20190529,0,中卫,28.0,13.0,20.0,28.0,29.0,7.0,8.0,16.0,15.0,78.0,151.0,116.0,141.0,0.55,0.6
20190529,0,中山,39.0,27.0,12.0,23.0,19.0,2.0,3.0,25.0,18.0,41.0,141.0,49.0,84.0,0.53,0.53
20190529,0,临夏州,55.0,21.0,27.0,59.0,48.0,11.0,12.0,22.0,13.0,85.0,143.0,119.0,128.0,0.55,0.35
20190529,0,临安,52.0,30.0,14.0,54.0,32.0,1.0,2.0,17.0,15.0,50.0,121.0,72.0,105.0,0.6,0.5
20190529,0,临汾,47.0,25.0,29.0,47.0,56.0,21.0,19.0,34.0,20.0,73.0,159.0,125.0,145.0,1.56,1.4
