date,hour,城市,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20181212,0,七台河,71.0,38.0,46.0,92.0,107.0,12.0,21.0,61.0,65.0,17.0,51.0,32.0,33.0,0.7,0.8
20181212,0,三亚,11.0,7.0,9.0,9.0,16.0,4.0,4.0,14.0,11.0,35.0,84.0,50.0,82.0,0.6,0.55
20181212,0,三明,13.0,5.0,8.0,6.0,14.0,6.0,7.0,25.0,20.0,5.0,12.0,6.0,10.0,0.87,0.8
20181212,0,三门峡,76.0,35.0,45.0,101.0,102.0,14.0,12.0,55.0,30.0,4.0,67.0,22.0,61.0,0.97,0.77
20181212,0,上海,78.0,57.0,15.0,64.0,17.0,7.0,5.0,32.0,35.0,37.0,67.0,29.0,60.0,0.94,0.54
20181212,0,上饶,29.0,20.0,17.0,25.0,26.0,7.0,10.0,30.0,29.0,22.0,15.0,11.0,7.0,1.0,1.0
20181212,0,东莞,19.0,13.0,13.0,15.0,15.0,4.0,4.0,20.0,20.0,20.0,20.0,20.0,20.0,0.7,0.7
20181212,0,东营,59.0,23.0,54.0,68.0,85.0,21.0,12.0,42.0,41.0,17.0,49.0,34.0,42.0,0.57,0.7
20181212,0,中卫,60.0,42.0,42.0,70.0,70.0,25.0,25.0,48.0,48.0,15.0,15.0,15.0,15.0,0.5,0.5
20181212,0,中山,24.0,9.0,9.0,24.0,24.0,5.0,5.0,30.0,30.0,3.0,3.0,3.0,3.0,1.0,1.0
20181212,0,临夏州,325.0,275.0,275.0,358.0,358.0,38.0,38.0,44.0,44.0,7.0,7.0,7.0,7.0,3.3,3.3
20181212,0,临安,67.0,37.0,49.0,84.0,91.0,2.0,3.0,17.0,19.0,11.0,11.0,6.0,10.0,,1.1
20181212,0,临汾,66.0,47.0,31.0,81.0,68.0,46.0,22.0,54.0,28.0,8.0,62.0,23.0,62.0,1.44,0.92
20181212,0,临沂,89.0,66.0,66.0,125.0,125.0,18.0,18.0,46.0,46.0,22.0,22.0,22.0,22.0,0.9,0.9
20181212,0,临沧,53.0,37.0,28.0,52.0,46.0,11.0,15.0,18.0,16.0,20.0,73.0,41.0,69.0,0.85,0.85
20181212,0,丹东,90.0,67.0,67.0,105.0,105.0,37.0,37.0,72.0,72.0,8.0,8.0,8.0,8.0,1.48,1.48
20181212,0,丽水,14.0,10.0,13.0,11.0,21.0,5.0,6.0,21.0,30.0,33.0,45.0,22.0,23.0,0.67,0.87
20181212,0,丽江,34.0,19.0,17.0,34.0,34.0,7.0,7.0,16.0,18.0,49.0,88.0,51.0,88.0,0.7,0.7
20181212,0,义乌,14.0,,,,,2.0,3.0,28.0,38.0,16.0,22.0,14.0,14.0,0.7,0.8
20181212,0,乌兰察布,35.0,17.0,14.0,35.0,28.0,18.0,21.0,19.0,18.0,50.0,68.0,47.0,59.0,0.3,0.35
20181212,0,乌海,101.0,58.0,58.0,151.0,151.0,64.0,64.0,61.0,61.0,11.0,11.0,11.0,11.0,1.5,1.5
20181212,0,乌鲁木齐,160.0,122.0,89.0,145.0,115.0,11.0,11.0,99.0,78.0,12.0,34.0,16.0,24.0,2.5,2.03
20181212,0,乐山,79.0,58.0,50.0,78.0,65.0,6.0,8.0,40.0,31.0,5.0,33.0,8.0,33.0,1.07,1.07
20181212,0,九江,76.0,56.0,60.0,53.0,55.0,7.0,10.0,21.0,33.0,25.0,25.0,10.0,10.0,0.68,1.05
20181212,0,乳山,42.0,24.0,23.0,42.0,39.0,9.0,8.0,25.0,26.0,36.0,52.0,43.0,47.0,0.55,0.6
